"","GeneID","Chr","Start","End","Strand","Length","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"94","tripartite tricarboxylate transporter TctB family protein_1","CP080275",21999,22538,"+",540,61.5658408311526,0.682709599311753,0.282848224169271,2.41369590110343,0.0157916361696224,0.0419863975596229
"98","tripartite tricarboxylate transporter permease_1","CP080275",22551,24068,"+",1518,113.414885244851,0.0107139308533357,0.194515021882474,0.0550802233660341,0.956074551690658,0.974924535210218
"103","aldehyde dehydrogenase_1","CP080275",24074,25558,"+",1485,94.7178945127572,0.409799695687402,0.248106434186384,1.65170926353143,0.0985938333411594,0.191047703307298
"109","Tm-1-like ATP-binding domain-containing protein","CP080275",25570,26829,"+",1260,74.6374012816707,0.319453323745812,0.197842002191843,1.61468909638332,0.106378039971874,0.201808346819107
"114","5-carboxymethyl-2-hydroxymuconate Delta-isomerase","CP080275",26892,27281,"+",390,30.3825395144387,0.479496723535331,0.3906754544162,1.22735308326923,0.219689912082994,0.350365950013731
"116","5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase","CP080275",27278,28789,"+",1512,190.994315000673,0.0393490411555706,0.194482049969814,0.202327367290082,0.83966080637614,0.899754408853242
"122","3%2C4-dihydroxyphenylacetate 2%2C3-dioxygenase","CP080275",28789,29772,"+",984,236.465441079708,0.110208157082777,0.216060668919749,0.510079681016408,0.609995639703485,0.733531764531623
"126","fumarylacetoacetate hydrolase family protein_1","CP080275",29769,30623,"+",855,119.566976485837,0.156059075334996,0.218844479724501,0.713104920587695,0.475780834879963,0.622953095875068
"130","2-oxo-hepta-3-ene-1%2C7-dioic acid hydratase","CP080275",30620,31420,"+",801,168.245500635001,0.167770289198344,0.260348008906491,0.644407805932568,0.519311024049934,0.658933030848337
"135","Hint domain-containing protein_1","CP080275",31515,32504,"-",990,1201.01331733798,-0.287746768712403,0.0786568225080672,-3.6582556927327,0.000253937641434294,0.00112190905906755
"140","hypothetical protein_30","CP080275",32509,32733,"-",225,505.932013834399,-0.0568695628925865,0.224957851570474,-0.252800969139637,0.800422018757328,0.874573249379843
"142","rhodanese-related sulfurtransferase","CP080275",33043,33957,"-",915,1370.62660176302,0.263227550342736,0.112247114184982,2.34507187337521,0.0190234120714476,0.0492082569707229
"147","bifunctional nicotinamidase/pyrazinamidase","CP080275",34079,34684,"+",606,192.533132553304,-0.057872014616604,0.168066421169079,-0.344340137750559,0.730590502227085,0.82550888946523
"150","ATP-binding protein_1","CP080275",34742,37006,"+",2265,1783.26517264704,-0.403463159250182,0.106618242909272,-3.78418503476477,0.000154213064187257,0.000704288850558548
"159","nicotinate phosphoribosyltransferase","CP080275",37071,38360,"+",1290,1136.36546920337,-0.10888105997179,0.113597682013123,-0.958479592560807,0.337820977209197,0.484513160641166
"164","aldehyde dehydrogenase family protein_3","CP080275",38487,39944,"-",1458,348.855622221251,0.155949738622013,0.148859545990767,1.04763008367422,0.294809071422073,0.439336859753894
"170","GNAT family N-acetyltransferase_1","CP080275",39937,40410,"-",474,95.0114843079251,-0.111162157203367,0.202408662224462,-0.549196640013822,0.58287051000897,0.712355828173575
"173","dipeptide ABC transporter ATP-binding protein","CP080275",40407,42014,"-",1608,261.38834192991,-0.213389179849563,0.144235037315462,-1.47945453352538,0.139018874403141,0.248606118253486
"178","ABC transporter permease_2","CP080275",42011,42826,"-",816,172.054240054192,-0.236137137240889,0.149978777233312,-1.57447034571796,0.115378751974345,0.215727754670936
"181","ABC transporter permease_3","CP080275",42954,43901,"-",948,277.776258788499,0.0938346536979802,0.167270891737463,0.560974194154812,0.574815129398282,0.705900342245944
"185","acetoin utilization protein AcuC","CP080275",44098,45282,"+",1185,82.8726494827846,-0.398522317451123,0.347311831186293,-1.14744814793643,0.251196451628809,0.388758837583621
"188","ABC transporter substrate-binding protein_5","CP080275",45354,46832,"-",1479,963.937252961133,-0.390396308408919,0.169819747701322,-2.2988863998052,0.0215113908843834,0.0545854006678581
"195","3-methyl-2-oxobutanoate hydroxymethyltransferase","CP080275",46993,47856,"+",864,521.321124130323,0.642139404180348,0.154079332044153,4.16758948563158,3.07837679374121e-05,0.00015990806256468
"198","pantoate--beta-alanine ligase","CP080275",47864,48721,"+",858,476.13769300237,0.319656861207662,0.139292668165912,2.29485776542752,0.0217412768973285,0.054899599996032
"201","glycerol kinase GlpK","CP080275",48789,50273,"+",1485,629.465979869554,0.706714164715911,0.167981008949056,4.20710751255362,2.58660101919538e-05,0.000136215761259144
"208","flavin-dependent oxidoreductase","CP080275",50395,51651,"-",1257,503.189913043548,0.520587385855162,0.146100440291288,3.56321572212403,0.000366339385513444,0.00155755431390905
"213","isopentenyl-diphosphate Delta-isomerase","CP080275",51754,52302,"-",549,433.93670914693,0.458928475506602,0.13264907115755,3.4597187262738,0.000540739909650661,0.00218933719517097
"216","cytochrome C","CP080275",52561,53025,"-",465,5016.91117326929,0.864581941540397,0.152009861578904,5.68767007982319,1.28784317403124e-08,1.1149626391046e-07
"219","P1 family peptidase","CP080275",53180,54217,"-",1038,369.755266556558,0.25353261446572,0.154042955006669,1.64585660184683,0.0997932856784854,0.192819212915211
"222","SDR family oxidoreductase_1","CP080275",54343,55104,"-",762,358.835747020311,0.131662039841376,0.174461225227851,0.754677950183038,0.450442239807676,0.599856460267077
"224","aminoacyl-tRNA hydrolase_1","CP080275",55171,55590,"-",420,506.883881885793,-0.176523719025039,0.132664691200034,-1.33060060991567,0.183320461716114,0.306956904276445
"228","queuosine precursor transporter","CP080275",55956,56588,"-",633,1374.67787022032,0.23652571559633,0.227844866343218,1.03809982376357,0.299223583498896,0.443492096971578
"231","esterase-like activity of phytase family protein_1","CP080275",56769,57698,"-",930,524.519481336074,-0.748579469939275,0.22671631055001,-3.3018333269593,0.000960551291694727,0.00361318702629603
"235","penicillin-insensitive murein endopeptidase","CP080275",57671,58594,"-",924,1138.14728608725,-0.498622296729662,0.193735437407866,-2.57372788066608,0.0100609367987809,0.0284749123037401
"239","MFS transporter_3","CP080275",58591,59955,"-",1365,911.564833461027,-0.112055398135591,0.115809549425022,-0.967583404753152,0.333252468585609,0.479666082798861
"246","acyl-CoA thioesterase_1","CP080275",60030,60617,"-",588,362.88623040865,-0.100601487176582,0.167081960625752,-0.602108610647205,0.547101843232325,0.681067765719275
"250","YggT family protein","CP080275",60752,61039,"+",288,2563.18584081453,0.662607840620961,0.52543025083094,1.26107668824374,0.207281218638318,0.335636460971703
"252","DNA helicase RecQ","CP080275",61262,63340,"+",2079,1091.21170052031,0.346053847621151,0.184254784683562,1.87812679174363,0.0603638220081537,0.127330979241509
"258","peroxide stress protein YaaA","CP080275",63370,64134,"+",765,63.3649342848956,0.635418970348918,0.229711594912727,2.76615976041753,0.00567207394172222,0.0175352051089032
"263","response regulator_1","CP080275",64162,66456,"-",2295,3158.95214579152,-0.603045033389574,0.105033303764392,-5.7414649618402,9.38609813498859e-09,8.21929419251983e-08
"274","alpha-2-macroglobulin family protein","CP080275",66764,72073,"+",5310,2105.81968413621,-0.15952574652324,0.179154231676307,-0.890438060159629,0.373230713421668,0.52421483098803
"287","penicillin-binding protein 1C","CP080275",72133,74160,"+",2028,275.734008458693,-0.0146153373915238,0.18656968400525,-0.0783371503760092,0.937559866521842,0.964852714388246
"294","hypothetical protein_57","CP080275",74195,76255,"-",2061,1215.06865552857,-0.351650238492723,0.0886510647142815,-3.96667811747187,7.28813141942552e-05,0.000354517681614227
"299","DUF4159 domain-containing protein","CP080275",76271,79189,"-",2919,1536.54258198919,-0.342559515137187,0.110517595104659,-3.09959255639597,0.00193787019734025,0.00679411240904049
"309","DUF58 domain-containing protein","CP080275",79186,80109,"-",924,839.049210940735,-0.400141189557104,0.148466229113905,-2.69516638191242,0.00703534909498662,0.0209851272223898
"311","MoxR family ATPase_1","CP080275",80106,81113,"-",1008,1990.3446611612,-0.531259612244165,0.158318249326673,-3.35564355027681,0.000791805513664604,0.00304136162089684
"314","DUF1285 domain-containing protein","CP080275",81178,81795,"+",618,444.425121845632,-0.590298746732996,0.201088054400874,-2.93552368633603,0.00332985188157979,0.0109598055895445
"318","TIM barrel protein","CP080275",82073,82825,"+",753,628.205578393852,-0.392688142757645,0.152226333904129,-2.57963344899941,0.00989052357973596,0.0281176612266805
"320","DUF2798 domain-containing protein","CP080275",82974,83243,"+",270,200.935215653601,-0.119195399681576,0.184950127440329,-0.644473195726951,0.519268633601469,0.658933030848337
"322","DNA polymerase I","CP080275",83457,86270,"-",2814,3667.65818156351,0.017321234924424,0.0926797250349511,0.186893464756092,0.851744163289155,0.90558596921136
"329","EAL domain-containing protein_1","CP080275",86498,88552,"-",2055,1401.48718845035,-0.385446295416866,0.110066987742229,-3.50192463083991,0.000461910264796981,0.00190450690172233
"331","zinc-finger domain-containing protein","CP080275",88760,88942,"-",183,162.634421779687,0.456022268422823,0.280323970916365,1.62676872381662,0.103786226564042,0.198624467679957
"332","ABC transporter ATP-binding protein_4","CP080275",89014,89946,"+",933,123.005398158753,0.0369689079413416,0.265408707445238,0.139290486349132,0.889220607390113,0.932448305140195
"335","hypothetical protein_65","CP080275",90008,90385,"-",378,272.163452044099,0.269171216251075,0.177425869407553,1.5170911499539,0.129243672372884,0.234530580380072
"337","DUF6478 family protein","CP080275",90407,91168,"-",762,543.691012973623,-0.141696542451721,0.145461238408513,-0.974118906191219,0.329997503213109,0.475624940455888
"341","hypothetical protein_69","CP080275",91351,91995,"-",645,1073.82101402104,-0.188892467465701,0.142617830745637,-1.32446599754133,0.185348328509832,0.309969302781664
"346","cyclic nucleotide-binding domain-containing protein_1","CP080275",92343,95471,"+",3129,1339.22097283442,0.769995654462843,0.122233730110121,6.29937132548562,2.98855273442282e-10,3.04274515734036e-09
"352","CPBP family intramembrane metalloprotease","CP080275",95461,96381,"+",921,230.553005849908,0.789146552059992,0.225231748261295,3.50370921573849,0.000458826077884156,0.00189793929074941
"354","acetyl-CoA carboxylase%2C carboxyltransferase subunit beta","CP080275",96444,97388,"+",945,4985.48927608759,0.288327839868499,0.0990584740302254,2.91068323726169,0.00360639432075988,0.0117685585612489
"356","bifunctional folylpolyglutamate synthase/dihydrofolate synthase","CP080275",97484,98752,"+",1269,683.684871553121,0.377519167323801,0.117126328310402,3.22317938903814,0.0012677613118344,0.00464521371265235
"360","AFG1 family ATPase","CP080275",98880,99950,"-",1071,394.278167740413,-0.172375474639004,0.158450872580753,-1.08787961739469,0.276648255359045,0.417639147248753
"365","MFS transporter_4","CP080275",100175,101416,"+",1242,3211.4097236277,-2.35503388521337,0.149827597802906,-15.7182916882333,1.13338586373126e-55,1.16953168316918e-53
"371","NAD(P)-binding domain-containing protein","CP080275",101435,102355,"-",921,647.096979214619,-0.280744080824468,0.114610692132706,-2.44954528761941,0.0143036721039464,0.038567387071234
"373","HAD family phosphatase_1","CP080275",102352,102972,"-",621,497.455918000743,-0.318274069869839,0.200689084816712,-1.58590622983067,0.112760582412587,0.211974349409777
"376","DMT family transporter_2","CP080275",102984,103949,"-",966,421.305138621595,-0.479547479973678,0.140789341740689,-3.40613482558164,0.000658896312830501,0.00259128143223092
"379","YaiI/YqxD family protein","CP080275",104030,104485,"-",456,334.10417866622,-0.759461680496039,0.143417114032663,-5.29547457162659,1.18707712686896e-07,9.02840731152528e-07
"382","Si-specific NAD(P)(+) transhydrogenase","CP080275",104482,105975,"-",1494,1905.12345142508,-0.752155092615736,0.143233543289797,-5.25124963985522,1.51070767514714e-07,1.13540982356531e-06
"387","S-formylglutathione hydrolase","CP080275",105979,106812,"-",834,869.77859747767,-0.78670981894745,0.212432546671686,-3.70333939536726,0.000212779908444887,0.00095016805899717
"389","AEC family transporter_1","CP080275",106990,107928,"-",939,177.47068929662,0.634693624338853,0.232061472784505,2.73502368455723,0.00623757877692616,0.0190216260146199
"392","TetR/AcrR family transcriptional regulator_2","CP080275",108287,108910,"+",624,259.786843548436,-0.212662098411317,0.172339922005686,-1.23396886766783,0.217214505306315,0.347288518115373
"393","cytochrome c_1","CP080275",108937,109485,"-",549,184.384474687616,-0.83366974753689,0.231824767871324,-3.59612027304875,0.00032299850588222,0.00138407216100821
"395","ArsR family transcriptional regulator","CP080275",109649,110350,"+",702,230.063171305999,-0.205814910872364,0.207712067742539,-0.990866409974187,0.321750816168482,0.466734276645617
"397","DUF2794 domain-containing protein","CP080275",110419,110763,"+",345,511.579595281952,-0.0521040602118245,0.146825889162155,-0.354869706624291,0.722687203962676,0.819976149993907
"398","C40 family peptidase","CP080275",110801,111646,"-",846,435.189417173429,0.0868516257218334,0.146237363095366,0.593908587268457,0.55257325519024,0.685613561017697
"399","leucyl aminopeptidase family protein","CP080275",111658,113052,"-",1395,1429.62943154007,0.140929793907315,0.106570793132798,1.32240541488419,0.186033186710924,0.310706345959015
"401","hypothetical protein_87","CP080275",113351,113746,"-",396,904.432722953551,-0.562746424772405,0.199344166808265,-2.82298917386266,0.00475781781904371,0.0149817861670173
"402","carbonic anhydrase","CP080275",113885,114535,"+",651,1409.16701830142,0.276787138578792,0.160091297678183,1.72893306877425,0.0838210747558199,0.168148393907305
"404","DUF3095 domain-containing protein","CP080275",114569,115723,"-",1155,772.476907775271,-0.363226141501603,0.136629473477466,-2.65847574653436,0.00784950001533642,0.0231423869178027
"406","MFS transporter_5","CP080275",115897,117075,"+",1179,62.9670425025995,-0.326952277280877,0.267813577062471,-1.22082039628861,0.222154029509641,0.353591600791542
"408","aspartate-semialdehyde dehydrogenase","CP080275",117154,118176,"+",1023,3610.1151781178,0.569022507706923,0.141246488941968,4.02857806922697,5.61152266379493e-05,0.000278605897664097
"410","hypothetical protein_89","CP080275",118306,118641,"+",336,118.944638285666,-0.852538304282974,0.35412023690803,-2.40748258762854,0.0160629281710708,0.0425890692757975
"411","DUF4139 domain-containing protein","CP080275",118850,120442,"+",1593,2173.97635065517,0.12544791527438,0.140528063940714,0.892689415598183,0.372023520087583,0.523162357161839
"413","branched-chain amino acid ABC transporter permease_1","CP080275",120451,122549,"-",2099,388.306545911712,-0.0156514586232877,0.12753203411584,-0.122725703638281,0.902324309164077,0.941791747509144
"415","ABC transporter ATP-binding protein_6","CP080275",122609,124127,"-",1519,478.98218287805,-0.352697059877043,0.145568869045249,-2.42288795805242,0.0153976748219469,0.0411809056447854
"418","substrate-binding domain-containing protein_1","CP080275",124220,125404,"-",1185,2192.4952273246,0.24171202039906,0.136449788965399,1.77143564846665,0.0764882849446342,0.155501742235683
"420","HpcH/HpaI aldolase/citrate lyase family protein","CP080275",125547,126317,"-",771,610.402776111076,0.0893416710158634,0.150281485908491,0.594495526017524,0.552180733787629,0.685379077243552
"423","pyridoxal-dependent decarboxylase_1","CP080275",126455,127864,"-",1410,246.269691294862,-0.479312197342481,0.199478628675299,-2.40282480647429,0.0162689794955897,0.0429861340582432
"425","homoprotocatechuate degradation operon regulator HpaR","CP080275",128093,128527,"+",435,358.670280981615,0.0427999852609242,0.205292145616256,0.208483306229008,0.834851615967289,0.89611005616056
"427","DUF4147 domain-containing protein","CP080275",128537,129811,"-",1275,542.80354698545,-0.41041939586964,0.118957223853189,-3.45014268638412,0.00056029032934266,0.00225345511915506
"428","sulfatase-like hydrolase/transferase_1","CP080275",129804,131381,"-",1578,1069.67931566139,-0.393130406083975,0.195599439969882,-2.00987490631112,0.0444444302462708,0.0996996678497425
"430","DeoR/GlpR family DNA-binding transcription regulator_1","CP080275",131569,132405,"+",837,570.827383392931,-0.00156666829851096,0.166094361955229,-0.0094323990294942,0.992474146039261,0.995080433187474
"432","Na/Pi cotransporter family protein","CP080275",132504,134180,"+",1677,387.668423586083,0.582666807085998,0.152258595437674,3.82682373636179,0.000129807395694141,0.000599280092817692
"435","DMT family transporter_3","CP080275",134220,135059,"+",840,223.403214617596,0.493598267987965,0.214771030904,2.29825347445763,0.0215473667862522,0.0545854006678581
"436","extracellular solute-binding protein_2","CP080275",135365,136489,"+",1125,5322.17635919758,-0.276551370371409,0.131977877189121,-2.09543732829645,0.0361321341602706,0.0843230368116829
"437","ABC transporter ATP-binding protein_7","CP080275",136643,137755,"+",1113,229.940065585079,0.468145164168754,0.222288997594528,2.10602040242535,0.0352025801467725,0.0824055493564545
"439","ABC transporter permease_7","CP080275",137769,140011,"+",2243,688.22381945121,0.28704538610634,0.131022300727218,2.1908132013645,0.0284653129099835,0.0690035331367093
"442","glycosyltransferase_5","CP080275",140112,143561,"-",3450,2774.78316082097,-0.81292973326263,0.16554577590506,-4.91060390286758,9.07963297921911e-07,5.98722603016556e-06
"445","DUF3131 domain-containing protein","CP080275",143852,146245,"+",2394,1138.96777726096,-0.885852089676859,0.133107049336396,-6.65518538719976,2.82943181170496e-11,3.2636769356766e-10
"448","hypothetical protein_92","CP080275",146253,146873,"-",621,95.5814958450281,0.0562202210234303,0.30473434070144,0.184489286287926,0.853629631208699,0.906580787748209
"450","hypothetical protein_93","CP080275",148167,148346,"+",180,127.377338840582,0.214065037034756,0.245067993438435,0.873492429718417,0.382394730721185,0.533424582350561
"451","UDP-N-acetylglucosamine 1-carboxyvinyltransferase","CP080275",148353,149624,"+",1272,572.234738139564,0.193789462206982,0.191563972718954,1.01161747408158,0.311720987638003,0.456619236217082
"454","DUF2948 family protein","CP080275",149624,150100,"+",477,515.571305318264,0.0917376089013187,0.188997900941442,0.485389564880628,0.62740003312212,0.745770026917888
"455","GNAT family N-acetyltransferase_2","CP080275",150097,150639,"+",543,136.085869792946,0.242660329323023,0.194974088979856,1.24457732097979,0.213287161095331,0.342731641861101
"456","histidinol dehydrogenase_1","CP080275",150709,152010,"+",1302,1523.06283302853,0.232116586400451,0.160493748254246,1.44626559554671,0.148102721619363,0.260219139964439
"459","UPF0262 family protein","CP080275",152173,152652,"+",480,902.151578902489,-0.167321801761948,0.124083257255391,-1.3484639705868,0.177509200898828,0.299218600014007
"460","low molecular weight phosphatase family protein","CP080275",152656,153114,"+",459,293.941188148443,-0.0570917292204557,0.255341367889543,-0.223589815047724,0.823076489462627,0.888350438871549
"462","nuclear transport factor 2 family protein_2","CP080275",153111,153506,"+",396,256.173098557715,-0.177683963514258,0.143050166390058,-1.2421094501195,0.214196182332106,0.343758311956277
"463","GNAT family N-acetyltransferase_3","CP080275",153506,154096,"+",591,48.1044912744288,-0.29087476073576,0.254662369632816,-1.14219765234713,0.25337187160394,0.391490815776545
"464","carbon-nitrogen hydrolase family protein_1","CP080275",154119,154997,"+",879,371.571397274074,-0.0360617490716865,0.181836664113983,-0.19831946020018,0.842795127026691,0.901365935106701
"466","translation initiation factor IF-1","CP080275",155082,155300,"+",219,1078.01794771195,0.190634230436493,0.301551545848214,0.632177924673776,0.527270620521364,0.666231114622018
"467","Maf family protein_1","CP080275",155501,156082,"+",582,553.73447954092,0.187487628798189,0.166698851392336,1.12470858216608,0.260712543783094,0.399919844179933
"469","ribonuclease E/G","CP080275",156079,157101,"+",1023,650.501265739015,0.23054383517196,0.164405165151906,1.40229070637133,0.160828454510519,0.276222689753109
"471","DNA gyrase inhibitor YacG","CP080275",157098,157280,"+",183,280.264249214447,0.0592370020608094,0.188880791307257,0.31362110276448,0.753808829941049,0.843753184612995
"473","tyrosine-type recombinase/integrase_1","CP080275",157468,158580,"-",1113,735.385552538067,-0.176337032891913,0.149411585978815,-1.18020989963199,0.23791674265756,0.373246560231309
"475","hypothetical protein_94","CP080275",158829,159044,"-",216,16.7359600837857,0.541344202622826,0.545528586439423,0.992329670853899,0.321036734017988,0.466229840426275
"476","helix-turn-helix transcriptional regulator_3","CP080275",159170,159565,"+",396,503.108376512711,-0.380872493034629,0.235612867765132,-1.61651821756313,0.105982317876915,0.201514188074731
"478","hypothetical protein_95","CP080275",159574,159816,"+",243,317.263961449469,-0.362193865240622,0.333930417768362,-1.08463873300655,0.278081692965565,0.418988123023885
"480","N-6 DNA methylase","CP080275",160704,163802,"+",3099,3595.26343297952,-0.166497355119205,0.0849158718632076,-1.96073303454292,0.0499101733619713,0.109131557589334
"485","hypothetical protein_96","CP080275",163799,164455,"+",657,770.982103634807,-0.0414595023345702,0.129675277490208,-0.319717860929205,0.74918221884668,0.840052191352899
"486","hypothetical protein_97","CP080275",164737,165165,"-",429,870.144695913672,-0.122641112439208,0.156852598575175,-0.78188766748693,0.434280593338462,0.584555989454428
"487","helix-turn-helix domain-containing protein_7","CP080275",165368,165733,"-",366,1135.98837939784,0.439676587199554,0.260640443574193,1.68690852873874,0.0916209418800267,0.180499874147545
"489","helix-turn-helix domain-containing protein_8","CP080275",166081,166500,"-",420,382.260853320368,0.00931070491990616,0.14598641255638,0.0637778869749973,0.949147086042095,0.970239243509697
"491","mercury transporter","CP080275",166577,166966,"+",390,24.532714697239,0.264296192447215,0.348735250030067,0.757870597894617,0.448528453474889,0.598608029092711
"492","hypothetical protein_98","CP080275",166980,167285,"+",306,48.6228861019153,-0.0347949161606835,0.266268162409568,-0.130676216960414,0.896031447104816,0.937273442478408
"493","hypothetical protein_99","CP080275",167295,167549,"+",255,27.5938858664327,-0.247379299253428,0.321599032017448,-0.769216554233929,0.44176476465149,0.592641557076384
"494","mercury resistance system transport protein MerF","CP080275",167546,167755,"+",210,20.447018113605,-0.454628035965429,0.387295383307194,-1.17385348640944,0.24045371594797,0.376250937495635
"495","mercury(II) reductase","CP080275",167767,169200,"+",1434,109.339959977634,0.0504054698586498,0.220922722492075,0.228158829884318,0.819522766318383,0.8868871660441
"497","chloramphenicol phosphotransferase CPT family protein_1","CP080275",169444,169998,"+",555,314.839037150817,0.0412048878906523,0.250533773859241,0.164468395841124,0.869362424398383,0.917420048743235
"499","hypothetical protein_100","CP080275",170182,170481,"-",300,67.7753934015309,0.398489771393959,0.377825904300353,1.05469150436329,0.291566438532826,0.435022794937519
"500","type IV secretion system protein_1","CP080275",170478,171374,"-",897,38.0908983522306,-0.0986556221705868,0.298187190983165,-0.330851308016636,0.740756803053239,0.833150373613214
"502","EexN family lipoprotein","CP080275",171377,171613,"-",237,5.76192959904057,-0.0464361415348531,0.711327818463951,-0.0652809300149793,0.94795032559627,0.969535050395542
"503","type IV secretion system protein_2","CP080275",171616,172362,"-",747,17.1174736201574,-0.22333081622562,0.476322474885625,-0.468864746050973,0.639166316736118,0.755768683966795
"504","hypothetical protein_101","CP080275",172317,172793,"-",477,25.0611774168155,-0.0492230194737944,0.368706514888552,-0.133501897813422,0.893796463468663,0.935448162698288
"506","plasmid recombination protein","CP080275",172829,174040,"-",1212,20.83302457204,-0.172143431687438,0.354316205055169,-0.485846905197672,0.627075715323306,0.745770026917888
"508","helix-turn-helix domain-containing protein_9","CP080275",174101,174826,"-",726,25.6069566960759,-0.669554074099757,0.331854245054602,-2.01761491401019,0.0436313824049848,0.0983961122399479
"509","hypothetical protein_102","CP080275",175526,175813,"+",288,14.023678020289,-0.236486387044145,0.552862874782847,-0.42774872003665,0.668834075004377,0.778539176331315
"512","PLP-dependent aminotransferase family protein_2","CP080275",176591,177925,"+",1335,441.82866408514,0.456611473668064,0.180341099124917,2.5319324096599,0.0113435855053647,0.0315899412541812
"515","catalase_2","CP080275",178576,180633,"-",2058,1131.84184448276,-0.438021150541593,0.219002263869931,-2.00007590241962,0.0454920684284455,0.10157234927474
"517","Y4yA family PLP-dependent enzyme","CP080275",180666,182051,"-",1386,781.803110460388,-0.0565806924448849,0.138289466572536,-0.409146797997135,0.682431934649489,0.788597193248109
"519","FAD/NAD(P)-binding protein_2","CP080275",182120,183697,"-",1578,788.892566077954,-0.0520893222769851,0.195894098686815,-0.265905520514238,0.790311973358314,0.868087784464362
"521","2%2C3-diaminopropionate biosynthesis protein SbnA","CP080275",183694,184719,"-",1026,697.33104118958,-0.0550800679032773,0.149430963904806,-0.368598759346595,0.712426820455842,0.810743845156603
"524","DUF998 domain-containing protein_1","CP080275",185359,185997,"-",639,1142.26709243522,0.0362306110528115,0.173201400323719,0.209181975348324,0.834306182757527,0.89611005616056
"526","PRC-barrel domain-containing protein_2","CP080275",186112,186531,"-",420,7579.68126702264,-0.506757630861779,0.147635496824679,-3.43249179066717,0.000598061987459225,0.00238001100967764
"527","hypothetical protein_104","CP080275",186901,187689,"-",789,500.926446088735,0.113759773226622,0.284110442966288,0.400406870085098,0.688856864965504,0.79266290248291
"528","glycosyltransferase family 2 protein_4","CP080275",188091,189041,"+",951,649.954664330822,-1.25487797827285,0.194325091010964,-6.45762197637176,1.06361017799735e-10,1.15694121355951e-09
"531","NAD(P)-dependent oxidoreductase_1","CP080275",189043,189840,"+",798,468.008564205575,-1.53487501120939,0.185211329430618,-8.28715508888115,1.1598935334063e-16,2.0314098672226e-15
"532","glycosyltransferase_6","CP080275",189821,190609,"+",789,1137.82772365983,-1.13315650409308,0.148575564397244,-7.62680262188591,2.40647607091703e-14,3.60310809363186e-13
"534","DegT/DnrJ/EryC1/StrS family aminotransferase_1","CP080275",190606,191802,"+",1197,675.81421680128,-1.03908875011354,0.154147871695928,-6.74085693614533,1.57455187139583e-11,1.86696864751219e-10
"536","GDP-mannose 4%2C6-dehydratase_2","CP080275",191844,192971,"+",1128,1085.20664454103,-1.1530285182517,0.127108131216398,-9.07124121185208,1.17668837612681e-19,2.58195185060468e-18
"538","hypothetical protein_106","CP080275",193084,193590,"-",507,4004.91730180607,-3.69805854526935,0.250811825798616,-14.7443547906653,3.34501326312338e-49,2.7763610083924e-47
