"GeneID","Chr","Start","End","Strand","Length","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gap"
"cytochrome C oxidase assembly protein","CP080275",615067,615249,"+",183,292.015558867768,1.11077847516286,0.248934645370416,4.46212889937442,8.11493849984325e-06,4.62430376005993e-05,21372
"hypothetical protein_151","CP080275",636621,636824,"-",204,48.408513888584,-3.32043963181778,1.20072413049989,-2.76536428932713,0.00568592585740142,0.0175600472931903,19706
"tail protein X_1","CP080275",656530,656736,"+",207,21.060807806416,-3.421654830665,1.17195904786527,-2.91960272579282,0.0035047786172469,0.011469646280596,30083
"glycosyltransferase_13","CP080275",686819,688759,"-",1941,1256.41323220934,-2.2502643696749,0.167109395862245,-13.4658159588458,2.4855714670683e-41,1.48279872832293e-39,60386
"adenosylcobalamin-dependent ribonucleoside-diphosphate reductase_2","CP080275",749145,751442,"-",2298,4334.28477990946,1.11070139499607,0.101599835662982,10.9321180270447,8.09368965096719e-28,2.51233390954413e-26,9659
"methyltransferase domain-containing protein_1","CP080275",761101,761736,"+",636,101.338349421832,-1.97048676681729,0.236379843392073,-8.33610319112077,7.67789202022944e-17,1.38274489307717e-15,29034
"beta-galactosidase","CP080275",790770,792689,"-",1920,210.923434497763,1.07434965524691,0.174190357394053,6.16767581925624,6.93010381073786e-10,6.71551683994851e-09,9
"SMP-30/gluconolactonase/LRE family protein","CP080275",792698,793570,"-",873,90.8828347495182,1.18260211405681,0.239275431664608,4.94243017692872,7.71547413564083e-07,5.18621131159801e-06,-10
"2-dehydro-3-deoxy-6-phosphogalactonate aldolase","CP080275",793560,794171,"-",612,87.6014758332515,1.42507012129977,0.213939188426369,6.66109903371083,2.71787414927967e-11,3.14588398622855e-10,-3
"2-dehydro-3-deoxygalactonokinase_2","CP080275",794168,795136,"-",969,132.310329217502,1.10318448821541,0.182007908764587,6.06118984446049,1.35118234423888e-09,1.27378128155655e-08,-3
"SDR family oxidoreductase_6","CP080275",795133,795903,"-",771,239.142103418315,1.32680690648434,0.210482978375929,6.30363042523383,2.90753322322655e-10,2.96817161665213e-09,0
"dihydroxy-acid dehydratase_2","CP080275",795903,797618,"-",1716,323.846228678828,1.29542124559236,0.179277926267499,7.22577102804876,4.98266666122571e-13,6.81857394715404e-12,-3
"alpha-galactosidase","CP080275",797615,799714,"-",2100,308.185882966311,1.09621232490489,0.204129392457422,5.37018364532459,7.86565015516041e-08,6.1163039292062e-07,-3
"carbohydrate ABC transporter permease_4","CP080275",799711,800559,"-",849,149.712885083574,1.42614853301392,0.258289557212383,5.52151061934433,3.36097497078222e-08,2.71868695729799e-07,0
"sugar ABC transporter permease_5","CP080275",800559,801497,"-",939,126.442654502835,1.07182038851801,0.293960120173927,3.64614216337865,0.000266206740309614,0.0011695941708885,156
"ABC transporter substrate-binding protein_12","CP080275",801653,802903,"-",1251,1571.85973364754,1.08569980223423,0.241078695486339,4.50350786926237,6.6840891599946e-06,3.87251174701964e-05,945
"sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC_1","CP080275",803848,804909,"+",1062,781.807973023467,1.00569300521362,0.189965195379204,5.29409086336095,1.19609953690652e-07,9.07894240936198e-07,69277
"response regulator transcription factor_1","CP080275",874186,874851,"-",666,40.8881285560501,-1.05320560386844,0.291985561889233,-3.60704685894018,0.000309701747446854,0.00133307922407226,1259
"tripartite tricarboxylate transporter TctB family protein_3","CP080275",876110,876604,"+",495,13.2192435119863,1.41180749229465,0.453635068194258,3.11220977230553,0.00185692498936404,0.00654638929768411,2
"tripartite tricarboxylate transporter permease_3","CP080275",876606,878123,"+",1518,67.8214754675016,1.16659560136411,0.245077995883046,4.76009931924213,1.93497715677968e-06,1.23540849240549e-05,7997
"energy-coupling factor ABC transporter permease","CP080275",886120,886797,"-",678,4421.30370749238,1.89676824626657,0.192686670806703,9.84379582835467,7.29070293373126e-23,1.89359889802625e-21,1208
"cobyrinate a%2Cc-diamide synthase","CP080275",888005,889324,"-",1320,229.359221719495,1.15932764227495,0.189347987232221,6.12273549469067,9.1982321678732e-10,8.75781805908725e-09,-7
"precorrin-4 C(11)-methyltransferase","CP080275",889317,890111,"-",795,292.286951604045,1.13724556630377,0.134938233624202,8.42789723682727,3.51931906403124e-17,6.49118849587984e-16,19743
"peptidase","CP080275",909854,911122,"-",1269,39137.1097253012,-1.07424498362719,0.142642581043255,-7.53102597955256,5.03431695575918e-14,7.28069020344263e-13,83
"hypothetical protein_191","CP080275",911205,911711,"-",507,9793.53863158658,-2.63063013236308,0.230255393693004,-11.424836092528,3.14247967733209e-30,1.0907261280049e-28,-3
"hemin uptake protein HemP","CP080275",911708,911884,"-",177,19040.9334505456,-2.76340326306613,0.353316355811703,-7.82132844294041,5.22687699283704e-15,8.17877719616878e-14,6
"hypothetical protein_192","CP080275",911890,912042,"-",153,18567.8685419768,-2.80750520973845,0.316782540063816,-8.86256297197716,7.819561723903e-19,1.62255905770987e-17,8221
"3-keto-5-aminohexanoate cleavage protein_2","CP080275",920263,921180,"+",918,61.7747112866363,-1.10930159217819,0.418841882175601,-2.64849729548563,0.00808504961431508,0.0237032273435333,7438
"EF-hand domain-containing protein","CP080275",928618,929121,"+",504,653.960158676503,1.83788390870905,0.258586392661662,7.10742699873524,1.18226232939512e-12,1.5782788718988e-11,1139
"periplasmic heavy metal sensor","CP080275",930260,930739,"+",480,298.411261807315,1.02937744824961,0.194041654320102,5.30493028343022,1.12716066307053e-07,8.5898191848369e-07,261
"diguanylate cyclase_1","CP080275",931000,932430,"-",1431,1167.91492203353,-1.09165325247493,0.225965899432738,-4.83105307135015,1.3581279350198e-06,8.78869907780613e-06,14929
"pilus assembly protein_1","CP080275",947359,947958,"-",600,942.407967339099,-1.22022057302576,0.216089905531265,-5.6468189480013,1.63443796355291e-08,1.38365502102993e-07,4
"pilus assembly protein_2","CP080275",947962,948522,"-",561,453.798489763933,-1.45561755816277,0.175108421538659,-8.31266449307471,9.357680663654e-17,1.65405670249217e-15,-3
"VWA domain-containing protein_2","CP080275",948519,950201,"-",1683,2739.1817318364,-1.21945421277095,0.186791952825874,-6.52840871527111,6.64721040283742e-11,7.48644522655849e-10,359
"Glu/Leu/Phe/Val dehydrogenase_1","CP080275",950560,951990,"+",1431,10989.4923949523,-1.17498249217633,0.162506420067444,-7.23037583185135,4.81659200220138e-13,6.66295226971191e-12,29922
"hydroxymethylpyrimidine/phosphomethylpyrimidine kinase","CP080275",981912,982691,"-",780,744.114576022738,-2.23690173923548,0.185564885443807,-12.0545529607371,1.83525525764618e-33,7.87303884684619e-32,-3
"HesA/MoeB/ThiF family protein_1","CP080275",982688,983677,"-",990,1291.29497072932,-2.18645024298416,0.161901499965418,-13.5048177036728,1.46475869409739e-41,8.87690268899023e-40,-24
"thiamine phosphate synthase_1","CP080275",983653,984246,"-",594,864.821634989825,-2.02660652886053,0.174463792575382,-11.6162012698703,3.40962186208443e-31,1.25172464129215e-29,24
"thiazole synthase","CP080275",984270,985037,"-",768,1345.32134976979,-2.24387248984243,0.212825170361619,-10.5432665038152,5.45698937689882e-26,1.60267580315382e-24,4
"sulfur carrier protein ThiS","CP080275",985041,985238,"-",198,256.529266750539,-1.83469978342154,0.220399006903157,-8.32444668966998,8.47235484741319e-17,1.51156312184222e-15,-31
"FAD-dependent oxidoreductase_3","CP080275",985207,986181,"-",975,2554.89562736204,-2.485221488431,0.220644303620152,-11.2634745046915,1.9876429791988e-29,6.59897469094003e-28,-3
"phosphomethylpyrimidine synthase ThiC","CP080275",986178,987986,"-",1809,16020.3604526437,-2.47894227304951,0.152614802003581,-16.2431313378851,2.49838930375785e-59,3.02084558466926e-57,12662
"DUF2147 domain-containing protein","CP080275",1000648,1001034,"+",387,126.682321489447,1.55141660200827,0.227913965448711,6.80702737523733,9.963597814636e-12,1.21536793790033e-10,544
"AhpC/TSA family protein","CP080275",1001578,1002114,"-",537,139.659415716958,-1.28900945888817,0.186613354811698,-6.90738055799298,4.93684302948841e-12,6.30396879150058e-11,12800
"diguanylate cyclase_3","CP080275",1014914,1016707,"-",1794,2177.63630762099,-1.20038610212053,0.187135796033649,-6.41451890852935,1.41268257233094e-10,1.52362205117501e-09,2956
"DUF1127 domain-containing protein_2","CP080275",1019663,1019881,"-",219,8654.32669555473,-1.29370925442974,0.311064802006963,-4.15897024055067,3.19685541863986e-05,0.000165611858729539,52523
"malate synthase G","CP080275",1072404,1074536,"+",2133,1146.27000318494,1.32382683548008,0.223928804730456,5.91182021925933,3.38347720122578e-09,3.08308256665394e-08,76
"heme-binding protein","CP080275",1074612,1075037,"+",426,77.6196002852757,1.09154065048267,0.305360572775004,3.57459589678901,0.000350769234275963,0.00149468408087681,39643
"isovaleryl-CoA dehydrogenase","CP080275",1114680,1115840,"+",1161,2369.46495458821,2.55643979861168,0.192882017022549,13.2539043197211,4.28326915874422e-40,2.40492965413021e-38,146
"outer membrane beta-barrel protein","CP080275",1115986,1116588,"-",603,4438.49349141001,4.41743915344032,0.271971036150567,16.2423146816074,2.53187686509734e-59,3.02084558466926e-57,165
"AMP-binding protein_1","CP080275",1116753,1118306,"+",1554,884.409402646726,2.02667756044374,0.159216822507591,12.7290416208822,4.07814147936213e-37,2.13292385865816e-35,77
"methylcrotonoyl-CoA carboxylase","CP080275",1118383,1119987,"+",1605,1933.26698989557,1.64307332341381,0.244783006290521,6.71236679503692,1.91492591000713e-11,2.24269543693473e-10,10
"acetyl/propionyl/methylcrotonyl-CoA carboxylase subunit alpha_1","CP080275",1119997,1121934,"+",1938,2138.07197684607,1.86437498171971,0.169157491069223,11.0215336603495,3.00888293565229e-28,9.57326254026703e-27,22338
"hypothetical protein_211","CP080275",1144272,1144445,"-",174,5423.12180797476,-1.93327808449558,0.141716291724661,-13.641890152275,2.25635525407709e-42,1.43579406001105e-40,35362
"MoxR family ATPase_2","CP080275",1179807,1180718,"+",912,309.419695419625,1.06885663547088,0.191766593399745,5.57373740922021,2.49331472434855e-08,2.06496217300711e-07,16
"VWA domain-containing protein_3","CP080275",1180734,1181999,"+",1266,193.432080345347,1.00178855482846,0.191367773544646,5.23488639843917,1.65086368032302e-07,1.23588186891633e-06,12306
"hypothetical protein_219","CP080275",1194305,1194541,"+",237,3838.68816067718,-1.06652320132871,0.245245887378529,-4.34879138129061,1.36889852236176e-05,7.48775724695872e-05,71
"hypothetical protein_220","CP080275",1194612,1195868,"+",1257,3263.03567032866,-1.53427557660432,0.171938974797682,-8.92337283277207,4.52299001127705e-19,9.48833838629439e-18,21563
"SDR family NAD(P)-dependent oxidoreductase_3","CP080275",1217431,1218186,"-",756,1505.26301689332,1.91286420678106,0.203781597834682,9.38683486196271,6.1830351459128e-21,1.47542676169344e-19,73
"GNAT family N-acetyltransferase_10","CP080275",1218259,1219203,"-",945,788.218658406093,-1.01139413052021,0.181980475147738,-5.55770683475314,2.73341983309814e-08,2.25403821226106e-07,9206
"DMT family transporter_8","CP080275",1228409,1229305,"+",897,461.294805576775,-1.15343647620287,0.232622916275646,-4.95839573619699,7.10776669837118e-07,4.86063869070002e-06,2281
"hypothetical protein_225","CP080275",1231586,1231843,"+",258,385.913635282718,1.67518891537936,0.258525522453072,6.4797815685043,9.18554994506618e-11,1.00488337221383e-09,3266
"aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme_3","CP080275",1235109,1236329,"-",1221,1261.89938640326,-1.04650180942476,0.126567714698583,-8.26831559625594,1.35864847074617e-16,2.34720355715334e-15,171
"FAD-binding oxidoreductase_4","CP080275",1236500,1237810,"-",1311,1498.94527993439,1.04166661870824,0.12580541351821,8.27998247116332,1.23193413637239e-16,2.14772809710948e-15,8103
"TerB family tellurite resistance protein","CP080275",1245913,1246901,"-",989,2840.28736496134,-1.09091778635638,0.180152665842917,-6.05551841962529,1.39966156748234e-09,1.31299947534338e-08,21530
"ATP-binding protein_7","CP080275",1268431,1270959,"-",2529,1318.04315185423,-1.12022041983865,0.140772426541631,-7.95766932032929,1.75310128160615e-15,2.83616131066623e-14,2117
"hypothetical protein_226","CP080275",1273076,1273258,"+",183,403.29794318617,4.19094633593845,0.246374433928612,17.0104757588314,6.86778034884942e-65,9.71155013774336e-63,30
"alpha/beta fold hydrolase_1","CP080275",1273288,1274046,"-",759,594.466796152527,2.62574564015073,0.210953346358127,12.4470442658592,1.45120558127591e-35,7.103465268348e-34,1264
"PspA/IM30 family protein","CP080275",1275310,1275987,"+",678,2046.74113035733,1.05878384475321,0.289380472194425,3.65879506908069,0.000253403866832356,0.00112108454642634,79
"hypothetical protein_228","CP080275",1276066,1276350,"+",285,1061.32578952628,1.53295867770247,0.248524696630173,6.16823478104329,6.90565578172822e-10,6.70885337777057e-09,19195
"Hint domain-containing protein_5","CP080275",1295545,1296234,"+",690,1807.21567135245,-1.04735425441359,0.151832579582123,-6.89808641397089,5.27076835429949e-12,6.66350780685942e-11,152
"3-hydroxyacyl-CoA dehydrogenase NAD-binding domain-containing protein_2","CP080275",1296386,1298587,"-",2202,5975.13160869899,1.05402951546072,0.2796699785745,3.76883325422771,0.00016401240340665,0.000743181229904693,24
"acetyl-CoA C-acetyltransferase_2","CP080275",1298611,1299822,"-",1212,4584.36012091659,1.01070828229679,0.277877475577434,3.63724436533232,0.000275570466373979,0.00120254985807052,11
"glutathione binding-like protein","CP080275",1299833,1300471,"-",639,629.828060084368,1.42397146061655,0.187068930305797,7.61201477064536,2.69855711198483e-14,4.00898484574245e-13,38347
"sulfur oxidation c-type cytochrome SoxA","CP080275",1338818,1339669,"+",852,812.690884108983,1.05241713064995,0.159018357404532,6.61821155637187,3.6357047471054e-11,4.16850472205658e-10,10040
"RidA family protein_2","CP080275",1349709,1350068,"+",360,81.1380430204658,-1.03702777600117,0.237624794184981,-4.36413960739254,1.27624057993692e-05,7.01105976143766e-05,26
"hypothetical protein_232","CP080275",1350094,1350321,"-",228,65.7609976131356,-1.45596349696017,0.235522414741687,-6.18184684696368,6.3355976759896e-10,6.20238767357136e-09,5002
"ABC transporter ATP-binding protein_17","CP080275",1355323,1356078,"-",756,854.665961092,2.99606206781026,0.272743069961698,10.9849246333959,4.51615380583496e-28,1.4250144818742e-26,12
"ABC transporter ATP-binding protein_18","CP080275",1356090,1356845,"-",756,248.734168337617,2.23113630828397,0.271805776098025,8.20856841349583,2.23841255542809e-16,3.81529425742164e-15,13
"branched-chain amino acid ABC transporter permease_4","CP080275",1356858,1358060,"-",1203,555.380635821174,3.18277238600637,0.275281718607452,11.5618734222775,6.42906669045458e-31,2.29403519851921e-29,5
"branched-chain amino acid ABC transporter permease_5","CP080275",1358065,1359087,"-",1023,459.955029976018,3.57694631281789,0.259639130058132,13.7766072163969,3.52450937278094e-43,2.40296014022815e-41,153
"substrate-binding protein","CP080275",1359240,1360586,"-",1347,2903.02149066932,3.26630688773584,0.205010657074392,15.932376074238,3.77726641638383e-57,4.2416479934569e-55,9294
"hypothetical protein_235","CP080275",1369880,1370110,"+",231,259.456889379443,1.34887735805511,0.212779169679836,6.33932992634916,2.30766594986206e-10,2.41388180728037e-09,548
"DUF2312 domain-containing protein_2","CP080275",1370658,1370921,"+",264,562.716565403547,1.08086488695864,0.227411066018842,4.75291245004359,2.00507186249296e-06,1.27802410200303e-05,12221
"4Fe-4S binding protein_1","CP080275",1383142,1384170,"+",1029,1548.08666936394,-2.91597450678053,0.236718618436386,-12.3183149937323,7.21868355033722e-35,3.32059443315512e-33,735
"adenylate kinase_1","CP080275",1384905,1385588,"-",684,2314.37687444837,1.84129628897066,0.127140846987005,14.4823346124071,1.56683582284428e-47,1.15041907146528e-45,9
"acetate--CoA ligase","CP080275",1385597,1387558,"-",1962,4638.16322768,1.76233595391478,0.212510647672529,8.29293013416659,1.10492246084702e-16,1.94405251406172e-15,1705
"TRAP transporter small permease_2","CP080275",1389263,1389913,"+",651,238.668603682263,1.0133194712869,0.245107367388171,4.13418610009438,3.56214748846043e-05,0.000183292171306495,29625
"phosphoribosylglycinamide formyltransferase","CP080275",1419538,1420134,"+",597,943.245472447143,-2.15947060547074,0.197460065902703,-10.9362396674921,7.73416135391172e-28,2.42041213518319e-26,70
"hypothetical protein_237","CP080275",1420204,1420389,"-",186,304.52714104041,-2.86644998716754,0.162366292192065,-17.654218424701,9.44318328054346e-70,1.63882153477795e-67,29658
"efflux RND transporter periplasmic adaptor subunit_2","CP080275",1450047,1451168,"+",1122,3484.24348631986,-3.11859703335762,0.253710612902701,-12.2919455267471,1.00068302095187e-34,4.49483267528733e-33,29
"ABC transporter ATP-binding protein_21","CP080275",1451197,1451904,"+",708,6185.89898205309,-3.12433386634144,0.248034816948172,-12.5963520153474,2.21137961399851e-36,1.14095234679004e-34,-3
"ABC transporter permease_20","CP080275",1451901,1453043,"+",1143,4302.14519329355,-2.66279558268393,0.269765962436967,-9.87076189534518,5.5739607333739e-23,1.45762890959052e-21,17
"ABC transporter permease_21","CP080275",1453060,1454250,"+",1191,2282.23680772501,-2.60493463696673,0.257198091626802,-10.1281258367442,4.14518081391914e-24,1.16369855496642e-22,689
"hypothetical protein_241","CP080275",1454939,1455874,"+",936,1682.64980223519,-2.3887028557827,0.144143613989339,-16.5716870118115,1.11648980147498e-61,1.4699165731143e-59,26
"phosphopantetheine-binding protein","CP080275",1455900,1456160,"+",261,457.80860265681,-1.5394640127083,0.311264264209694,-4.94584245517882,7.58152583715575e-07,5.10516148964033e-06,-7
"hypothetical protein_242","CP080275",1456153,1456833,"+",681,963.924651495657,-2.47079284651285,0.207480029808357,-11.9085815092423,1.06778272738775e-32,4.29136258228046e-31,517
"hypothetical protein_243","CP080275",1457350,1458729,"+",1380,1085.21829323224,-1.94161076288945,0.173541964724771,-11.1881340399064,4.66139931181008e-29,1.52113013440093e-27,-10
"alpha/beta hydrolase_6","CP080275",1458719,1459684,"+",966,761.771724981175,-2.13123785963533,0.183147803567737,-11.6367099037969,2.68161679068743e-31,1.00376597125928e-29,-16
"hypothetical protein_244","CP080275",1459668,1460594,"+",927,1255.60995347965,-1.89857138856598,0.141018908009329,-13.4632398971661,2.57378433977154e-41,1.51180132449965e-39,34
"hypothetical protein_245","CP080275",1460628,1460909,"+",282,873.981391680963,-1.55287585183188,0.195446611782094,-7.94526872414244,1.93770259767006e-15,3.12158165312418e-14,4
"acyl-CoA dehydrogenase family protein_4","CP080275",1460913,1463381,"+",2469,4588.75240892923,-1.80407748507797,0.11583896417566,-15.5740125778598,1.09328279473538e-54,1.07029582315377e-52,-3
"hypothetical protein_246","CP080275",1463378,1465263,"+",1886,2414.56525516029,-1.64820337640517,0.167569918435683,-9.83591441585495,7.88480225212471e-23,2.0340658782846e-21,-16
"acyl--CoA ligase_2","CP080275",1465247,1466848,"+",1602,2457.47860196979,-1.55428295856492,0.154062563915488,-10.0886478782576,6.20178656362086e-24,1.71582761593511e-22,38
"acyl carrier protein_1","CP080275",1466886,1467149,"+",264,416.730955878877,-1.24630332018806,0.282835480055372,-4.40646032083409,1.05073545506211e-05,5.87365734615981e-05,-3
"AMP-binding protein_3","CP080275",1467146,1468750,"+",1605,2635.34044553068,-1.1909670459408,0.187558608061062,-6.34983943553828,2.15539776869333e-10,2.27328969084838e-09,1397
"AMP-binding protein_4","CP080275",1470147,1471706,"+",1560,2313.69524733736,-1.20741020575944,0.151265088053615,-7.98208113514916,1.43886394224559e-15,2.33769469425262e-14,51
"hypothetical protein_247","CP080275",1471757,1473115,"+",1359,1556.28657827334,-1.20497378934466,0.142836144413904,-8.43605653379256,3.28224073733543e-17,6.08329860929451e-16,3117
