"GeneID" "Chr" "Start" "End" "Strand" "Length"
"106" "GMC family oxidoreductase N-terminal domain-containing protein_1" "CP080276" 24654 26282 "+" 1629
"107" "Gfo/Idh/MocA family oxidoreductase_2" "CP080278" 24662 25798 "+" 1137
"108" "hypothetical protein_25" "CP080277" 25153 26490 "-" 1338
"109" "Tm-1-like ATP-binding domain-containing protein" "CP080275" 25570 26829 "+" 1260
"110" "LysR family transcriptional regulator_1" "CP080278" 25834 26721 "-" 888
"111" "mandelate racemase/muconate lactonizing enzyme family protein_1" "CP080276" 26279 27454 "+" 1176
"112" "M23 family metallopeptidase_1" "CP080277" 26487 27434 "-" 948
"113" "oxidoreductase" "CP080278" 26840 28390 "+" 1551
"114" "5-carboxymethyl-2-hydroxymuconate Delta-isomerase" "CP080275" 26892 27281 "+" 390
"115" "DUF2793 domain-containing protein" "CP080279" 26985 28253 "+" 1269
"116" "5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase" "CP080275" 27278 28789 "+" 1512
"117" "aldehyde dehydrogenase family protein_2" "CP080276" 27451 28935 "+" 1485
"118" "hypothetical protein_26" "CP080277" 27512 28395 "+" 884
"119" "mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase" "CP080279" 28285 29706 "-" 1422
"120" "DUF2309 domain-containing protein" "CP080278" 28409 30865 "+" 2457
"121" "hypothetical protein_27" "CP080277" 28514 28738 "+" 225
"122" "3%2C4-dihydroxyphenylacetate 2%2C3-dioxygenase" "CP080275" 28789 29772 "+" 984
"123" "IS1380 family transposase_1" "CP080277" 28979 30325 "+" 1347
"124" "DUF1289 domain-containing protein_1" "CP080276" 29062 29307 "+" 246
"125" "DNA starvation/stationary phase protection protein_1" "CP080276" 29371 29844 "-" 474
"126" "fumarylacetoacetate hydrolase family protein_1" "CP080275" 29769 30623 "+" 855
"127" "GDP-L-fucose synthase" "CP080279" 29833 30822 "-" 990
"128" "hypothetical protein_28" "CP080276" 29953 30393 "-" 441
"129" "GntR family transcriptional regulator_1" "CP080276" 30549 31217 "-" 669
"130" "2-oxo-hepta-3-ene-1%2C7-dioic acid hydratase" "CP080275" 30620 31420 "+" 801
"131" "Zn-dependent hydrolase_1" "CP080277" 30625 31830 "+" 1206
"132" "GDP-mannose 4%2C6-dehydratase_1" "CP080279" 30827 31945 "-" 1119
"133" "XRE family transcriptional regulator_1" "CP080278" 30959 31570 "-" 612
"134" "proline racemase family protein_1" "CP080276" 31311 32336 "-" 1026
"135" "Hint domain-containing protein_1" "CP080275" 31515 32504 "-" 990
"136" "dihydrolipoyl dehydrogenase_1" "CP080278" 31736 33118 "+" 1383
"137" "WGR domain-containing protein_1" "CP080277" 31819 32043 "-" 225
"138" "HlyD family type I secretion periplasmic adaptor subunit_1" "CP080279" 32117 33424 "-" 1308
"139" "hypothetical protein_29" "CP080277" 32293 32994 "-" 702
"140" "hypothetical protein_30" "CP080275" 32509 32733 "-" 225
"141" "XRE family transcriptional regulator_2" "CP080276" 32537 33148 "+" 612
"142" "rhodanese-related sulfurtransferase" "CP080275" 33043 33957 "-" 915
"143" "catalase_1" "CP080277" 33106 34566 "+" 1461
"144" "lipoyl synthase_1" "CP080278" 33156 34124 "+" 969
"145" "ABC transporter substrate-binding protein_4" "CP080276" 33295 34881 "+" 1587
"146" "type I secretion system permease/ATPase_1" "CP080279" 33421 35310 "-" 1890
"147" "bifunctional nicotinamidase/pyrazinamidase" "CP080275" 34079 34684 "+" 606
"148" "sodium:alanine symporter family protein_1" "CP080278" 34274 35650 "+" 1377
"149" "redoxin domain-containing protein" "CP080277" 34736 35260 "-" 525
"150" "ATP-binding protein_1" "CP080275" 34742 37006 "+" 2265
"151" "ABC transporter permease_1" "CP080276" 34950 36754 "+" 1805
"152" "hypothetical protein_31" "CP080277" 35341 35544 "+" 204
"153" "hypothetical protein_32" "CP080277" 35568 36374 "+" 807
"154" "glycine cleavage system aminomethyltransferase GcvT" "CP080278" 35729 36826 "+" 1098
"155" "sulfotransferase family protein_1" "CP080279" 35740 36516 "+" 777
"156" "hypothetical protein_33" "CP080277" 36596 37210 "+" 615
"157" "ABC transporter ATP-binding protein_2" "CP080276" 36782 37780 "+" 999
"158" "glycine cleavage system protein GcvH_1" "CP080278" 36845 37210 "+" 366
"159" "nicotinate phosphoribosyltransferase" "CP080275" 37071 38360 "+" 1290
"160" "type VI secretion protein" "CP080277" 37238 38248 "-" 1011
"161" "aminomethyl-transferring glycine dehydrogenase_1" "CP080278" 37311 40166 "+" 2856
"162" "ATP-binding cassette domain-containing protein_1" "CP080276" 37777 38775 "+" 999
"163" "hypothetical protein_34" "CP080277" 38439 38816 "+" 378
"164" "aldehyde dehydrogenase family protein_3" "CP080275" 38487 39944 "-" 1458
"165" "hypothetical protein_35" "CP080279" 38593 38874 "+" 282
"166" "M24 family metallopeptidase_1" "CP080276" 38768 40570 "+" 1803
"167" "hypothetical protein_36" "CP080277" 38875 39270 "-" 396
"168" "hypothetical protein_37" "CP080279" 39020 40039 "-" 1020
"169" "type IV secretory system conjugative DNA transfer family protein" "CP080277" 39349 41742 "-" 2394
"170" "GNAT family N-acetyltransferase_1" "CP080275" 39937 40410 "-" 474
"171" "glycosyltransferase family 4 protein_1" "CP080279" 40036 41712 "-" 1677
"172" "helix-turn-helix domain-containing protein_4" "CP080278" 40256 41299 "+" 1044
"173" "dipeptide ABC transporter ATP-binding protein" "CP080275" 40407 42014 "-" 1608
"174" "methyl-accepting chemotaxis protein_2" "CP080276" 40747 42891 "+" 2145
"175" "FAD-binding oxidoreductase_1" "CP080278" 41415 42752 "-" 1338
"176" "DotA/TraY family protein" "CP080277" 41746 43953 "-" 2208
"177" "glycosyltransferase family 2 protein_2" "CP080279" 41822 42739 "-" 918
"178" "ABC transporter permease_2" "CP080275" 42011 42826 "-" 816
"179" "hypothetical protein_38" "CP080279" 42736 44046 "-" 1311
"180" "ATP-binding cassette domain-containing protein_2" "CP080278" 42850 43608 "-" 759
"181" "ABC transporter permease_3" "CP080275" 42954 43901 "-" 948
"182" "iron chelate uptake ABC transporter family permease subunit_1" "CP080278" 43605 45603 "-" 1999
"183" "oligosaccharide flippase family protein_1" "CP080276" 43706 45199 "-" 1494
"184" "hypothetical protein_39" "CP080277" 43969 45501 "-" 1533
"185" "acetoin utilization protein AcuC" "CP080275" 44098 45282 "+" 1185
"186" "UDP-galactopyranose mutase" "CP080279" 44195 45346 "-" 1152
"187" "sugar transferase_2" "CP080276" 45320 46003 "-" 684
"188" "ABC transporter substrate-binding protein_5" "CP080275" 45354 46832 "-" 1479
"189" "hypothetical protein_40" "CP080277" 45503 48996 "-" 3494
"190" "ABC transporter ATP-binding protein_3" "CP080279" 45507 46163 "-" 657
"191" "siderophore ABC transporter substrate-binding protein" "CP080278" 45596 46579 "-" 984
"192" "sugar transporter" "CP080279" 46181 47611 "-" 1431
"193" "galactose mutarotase" "CP080276" 46357 47418 "+" 1062
"194" "TonB-dependent receptor_1" "CP080278" 46849 48843 "+" 1995
"195" "3-methyl-2-oxobutanoate hydroxymethyltransferase" "CP080275" 46993 47856 "+" 864
"196" "cytochrome-c peroxidase" "CP080276" 47411 48763 "+" 1353
"197" "ABC transporter permease_4" "CP080279" 47728 48624 "+" 897
"198" "pantoate--beta-alanine ligase" "CP080275" 47864 48721 "+" 858
"199" "glycosyltransferase_4" "CP080279" 48633 49679 "-" 1047
"200" "CRTAC1 family protein" "CP080276" 48776 50332 "-" 1557
"201" "glycerol kinase GlpK" "CP080275" 48789 50273 "+" 1485
"202" "hypothetical protein_41" "CP080277" 49023 49657 "-" 635
"203" "DUF2218 domain-containing protein" "CP080278" 49042 49341 "+" 300
"204" "DUF4172 domain-containing protein" "CP080278" 49349 50455 "-" 1107
"205" "hypothetical protein_42" "CP080277" 49744 50766 "-" 1023
"206" "NAD-dependent epimerase/dehydratase family protein_2" "CP080279" 49833 50843 "+" 1011
"207" "ROK family protein_1" "CP080276" 50322 51536 "-" 1215
"208" "flavin-dependent oxidoreductase" "CP080275" 50395 51651 "-" 1257
"209" "LuxR family transcriptional regulator_1" "CP080278" 50934 51731 "+" 798
"210" "strawberry notch family protein" "CP080277" 51059 57247 "-" 6189
"211" "UDP-glucose/GDP-mannose dehydrogenase family protein" "CP080279" 51145 52449 "+" 1305
"212" "D-xylose ABC transporter substrate-binding protein" "CP080276" 51723 52748 "+" 1026
"213" "isopentenyl-diphosphate Delta-isomerase" "CP080275" 51754 52302 "-" 549
"214" "helix-turn-helix transcriptional regulator_1" "CP080278" 51869 53071 "+" 1203
"215" "ParB N-terminal domain-containing protein_2" "CP080279" 52536 53663 "-" 1128
"216" "cytochrome C" "CP080275" 52561 53025 "-" 465
"217" "sugar ABC transporter permease_2" "CP080276" 52867 54168 "+" 1302
"218" "efflux RND transporter permease subunit_1" "CP080278" 53138 56281 "-" 3144
"219" "P1 family peptidase" "CP080275" 53180 54217 "-" 1038
"220" "AAA family ATPase_2" "CP080279" 53766 55181 "-" 1416
"221" "ATP-binding cassette domain-containing protein_3" "CP080276" 54165 54947 "+" 783
"222" "SDR family oxidoreductase_1" "CP080275" 54343 55104 "-" 762
"223" "helix-turn-helix domain-containing protein_5" "CP080276" 55073 55501 "+" 429
"224" "aminoacyl-tRNA hydrolase_1" "CP080275" 55171 55590 "-" 420
"225" "type II toxin-antitoxin system RelE/ParE family toxin" "CP080276" 55514 55870 "-" 357
"226" "replication initiator protein A" "CP080279" 55678 56691 "+" 1014
"227" "type II toxin-antitoxin system ParD family antitoxin" "CP080276" 55854 56129 "-" 276
"228" "queuosine precursor transporter" "CP080275" 55956 56588 "-" 633
"229" "tryptophan-rich sensory protein" "CP080276" 56171 56893 "-" 723
"230" "efflux RND transporter periplasmic adaptor subunit_1" "CP080278" 56278 57687 "-" 1410
"231" "esterase-like activity of phytase family protein_1" "CP080275" 56769 57698 "-" 930
"232" "HlyD family type I secretion periplasmic adaptor subunit_2" "CP080279" 56940 58343 "-" 1404
"233" "cisplatin damage response ATP-dependent DNA ligase" "CP080276" 56972 58528 "-" 1557
"234" "hypothetical protein_43" "CP080277" 57341 58570 "-" 1230
"235" "penicillin-insensitive murein endopeptidase" "CP080275" 57671 58594 "-" 924
"236" "MipA/OmpV family protein" "CP080278" 57691 58443 "-" 753
"237" "type I secretion system permease/ATPase_2" "CP080279" 58340 60097 "-" 1758
"238" "ligase-associated DNA damage response exonuclease" "CP080276" 58528 59541 "-" 1014
"239" "MFS transporter_3" "CP080275" 58591 59955 "-" 1365
"240" "hypothetical protein_44" "CP080278" 58653 59219 "-" 567
"241" "ParA family protein" "CP080277" 59097 59915 "+" 819
"242" "metalloregulator ArsR/SmtB family transcription factor_1" "CP080278" 59514 59888 "+" 375
"243" "MATE family efflux transporter_1" "CP080276" 59735 61069 "+" 1335
"244" "SRPBCC domain-containing protein_1" "CP080278" 59885 60298 "+" 414
"245" "hypothetical protein_45" "CP080277" 59915 60472 "+" 558
"246" "acyl-CoA thioesterase_1" "CP080275" 60030 60617 "-" 588
"247" "calcium-binding protein_1" "CP080279" 60260 62575 "-" 2316
"248" "hypothetical protein_46" "CP080278" 60359 61282 "-" 924
"249" "site-specific integrase_1" "CP080277" 60477 61517 "-" 1041
"250" "YggT family protein" "CP080275" 60752 61039 "+" 288
"251" "DNA topoisomerase IB" "CP080276" 61079 62056 "-" 978
"252" "DNA helicase RecQ" "CP080275" 61262 63340 "+" 2079
"253" "transporter substrate-binding domain-containing protein_3" "CP080278" 61562 63472 "-" 1911
"254" "NAD-dependent succinate-semialdehyde dehydrogenase_1" "CP080276" 62131 63510 "-" 1380
"255" "hypothetical protein_47" "CP080277" 62269 63186 "+" 918
"256" "hypothetical protein_48" "CP080279" 62956 63876 "-" 921
"257" "hypothetical protein_49" "CP080277" 63188 63565 "+" 378
"258" "peroxide stress protein YaaA" "CP080275" 63370 64134 "+" 765
"259" "type IV secretion system DotC family protein" "CP080277" 63562 64401 "+" 840
"260" "putative DNA modification/repair radical SAM protein" "CP080276" 63702 64937 "+" 1236
"261" "PRC-barrel domain-containing protein_1" "CP080278" 63799 64668 "-" 870
"262" "helix-turn-helix transcriptional regulator_2" "CP080279" 63873 65039 "-" 1167
"263" "response regulator_1" "CP080275" 64162 66456 "-" 2295
"264" "Flp pilus assembly complex ATPase component TadA" "CP080277" 64447 65622 "+" 1176
"265" "ParB N-terminal domain-containing protein_3" "CP080278" 64820 65902 "-" 1083
"266" "UdgX family uracil-DNA binding protein" "CP080276" 64937 66382 "+" 1446
"267" "hypothetical protein_50" "CP080279" 65439 65606 "+" 168
"268" "DUF882 domain-containing protein_1" "CP080277" 65670 66209 "+" 540
"269" "AAA family ATPase_3" "CP080278" 65904 67274 "-" 1371
"270" "LuxR C-terminal-related transcriptional regulator_1" "CP080279" 66007 66792 "+" 786
"271" "hypothetical protein_51" "CP080277" 66221 67029 "+" 809
"272" "hypothetical protein_52" "CP080276" 66409 66666 "-" 258
"273" "polysaccharide biosynthesis/export family protein_2" "CP080276" 66693 68066 "-" 1374
"274" "alpha-2-macroglobulin family protein" "CP080275" 66764 72073 "+" 5310
"275" "glycosyltransferase family 4 protein_2" "CP080279" 66816 68060 "-" 1245
"276" "hypothetical protein_53" "CP080277" 67486 68160 "+" 675
"277" "replication initiation protein" "CP080278" 68082 69359 "+" 1278
"278" "YjbF family lipoprotein_2" "CP080276" 68123 68782 "-" 660
"279" "hypothetical protein_54" "CP080277" 68272 69500 "+" 1229
"280" "YjbH domain-containing protein_2" "CP080276" 68779 70908 "-" 2130
"281" "multicopper oxidase family protein_1" "CP080278" 69432 70895 "-" 1464
"282" "DotI/IcmL family type IV secretion protein" "CP080277" 69497 70896 "+" 1400
"283" "DotH/IcmK family type IV secretion protein" "CP080277" 70907 72310 "+" 1404
"284" "LysR substrate-binding domain-containing protein_2" "CP080278" 71027 71962 "-" 936
"285" "metallophosphoesterase_1" "CP080276" 71036 71764 "+" 729
"286" "Rho termination factor N-terminal domain-containing protein_1" "CP080276" 71906 72559 "+" 654
"287" "penicillin-binding protein 1C" "CP080275" 72133 74160 "+" 2028
"288" "catalase/peroxidase HPI" "CP080278" 72223 74391 "+" 2169
"289" "DotG/IcmE/VirB10 family protein" "CP080277" 72323 73813 "+" 1491
"290" "DUF418 domain-containing protein" "CP080276" 72676 73725 "-" 1050
"291" "hypothetical protein_55" "CP080277" 73810 74049 "+" 240
"292" "lytic murein transglycosylase_1" "CP080276" 73863 75011 "-" 1149
"293" "hypothetical protein_56" "CP080277" 74052 77368 "+" 3317
"294" "hypothetical protein_57" "CP080275" 74195 76255 "-" 2061
"295" "Rrf2 family transcriptional regulator_1" "CP080278" 74603 75052 "-" 450
"296" "ATP-dependent Clp protease proteolytic subunit_1" "CP080276" 75123 75656 "-" 534
"297" "NO-inducible flavohemoprotein" "CP080278" 75201 76391 "+" 1191
"298" "hypothetical protein_58" "CP080276" 75934 77286 "-" 1353
"299" "DUF4159 domain-containing protein" "CP080275" 76271 79189 "-" 2919
"300" "ATP-grasp domain-containing protein_2" "CP080278" 76896 78023 "+" 1128
"301" "MgtC/SapB family protein" "CP080276" 77391 77864 "-" 474
"302" "hypothetical protein_59" "CP080277" 77409 77798 "+" 390
"303" "hypothetical protein_60" "CP080277" 77930 78163 "+" 234
"304" "FAD/NAD(P)-binding protein_1" "CP080278" 78070 79491 "+" 1422
"305" "STAS domain-containing protein_1" "CP080276" 78107 78982 "+" 876
"306" "hypothetical protein_61" "CP080277" 78196 78948 "+" 753
"307" "hypothetical protein_62" "CP080277" 78973 80814 "+" 1842
"308" "STAS domain-containing protein_2" "CP080276" 78984 79346 "+" 363
"309" "DUF58 domain-containing protein" "CP080275" 79186 80109 "-" 924
"310" "ATP-binding protein_2" "CP080276" 79343 80760 "+" 1418
"311" "MoxR family ATPase_1" "CP080275" 80106 81113 "-" 1008
"312" "ATP-binding protein_3" "CP080276" 80765 81919 "+" 1155
"313" "hypothetical protein_63" "CP080277" 80827 81258 "+" 432
"314" "DUF1285 domain-containing protein" "CP080275" 81178 81795 "+" 618
"315" "helix-turn-helix domain-containing protein_6" "CP080277" 81288 81650 "+" 363
"316" "hypothetical protein_64" "CP080277" 81639 82403 "-" 765
"317" "amidohydrolase_1" "CP080276" 81911 83038 "-" 1128
"318" "TIM barrel protein" "CP080275" 82073 82825 "+" 753
"319" "apolipoprotein N-acyltransferase_1" "CP080277" 82418 83992 "-" 1575
"320" "DUF2798 domain-containing protein" "CP080275" 82974 83243 "+" 270
"321" "pyridoxal-phosphate dependent enzyme_1" "CP080276" 83031 84056 "-" 1026
"322" "DNA polymerase I" "CP080275" 83457 86270 "-" 2814
"323" "telomere resolvase" "CP080277" 84127 85536 "+" 1410
"324" "Lrp/AsnC family transcriptional regulator_2" "CP080276" 84141 84614 "+" 474
"325" "lytic murein transglycosylase_2" "CP080276" 84702 85946 "+" 1245
"326" "single-stranded DNA-binding protein_1" "CP080277" 85662 86066 "+" 405
"327" "NAD(P)H-binding protein_1" "CP080276" 85952 87061 "-" 1110
"328" "adenosylcobalamin-dependent ribonucleoside-diphosphate reductase_1" "CP080277" 86164 88449 "+" 2286
"329" "EAL domain-containing protein_1" "CP080275" 86498 88552 "-" 2055
"330" "phenylacetic acid degradation bifunctional protein PaaZ_1" "CP080276" 87395 89527 "+" 2133
"331" "zinc-finger domain-containing protein" "CP080275" 88760 88942 "-" 183
"332" "ABC transporter ATP-binding protein_4" "CP080275" 89014 89946 "+" 933
"333" "replicative DNA helicase_1" "CP080277" 89038 90531 "+" 1494
"334" "flavoprotein" "CP080276" 89562 90143 "+" 582
"335" "hypothetical protein_65" "CP080275" 90008 90385 "-" 378
"336" "hypothetical protein_66" "CP080276" 90207 90620 "-" 414
"337" "DUF6478 family protein" "CP080275" 90407 91168 "-" 762
"338" "hypothetical protein_67" "CP080277" 90516 90812 "-" 297
"339" "hypothetical protein_68" "CP080276" 90648 91712 "-" 1065
"340" "DUF192 domain-containing protein_1" "CP080277" 90899 91381 "-" 483
"341" "hypothetical protein_69" "CP080275" 91351 91995 "-" 645
"342" "DUF2513 domain-containing protein" "CP080277" 91382 91900 "-" 519
"343" "vanadium-dependent haloperoxidase" "CP080276" 91802 93127 "-" 1326
"344" "LuxR C-terminal-related transcriptional regulator_2" "CP080277" 92019 92306 "+" 288
"345" "hypothetical protein_70" "CP080277" 92306 92647 "+" 342
"346" "cyclic nucleotide-binding domain-containing protein_1" "CP080275" 92343 95471 "+" 3129
"347" "hypothetical protein_71" "CP080277" 93112 93636 "+" 525
"348" "anion permease" "CP080276" 93257 94714 "-" 1458
"349" "hypothetical protein_72" "CP080277" 94211 95038 "-" 828
"350" "tRNA (N6-threonylcarbamoyladenosine(37)-N6)-methyltransferase TrmO" "CP080276" 95012 95470 "+" 459
"351" "hypothetical protein_73" "CP080277" 95052 97092 "-" 2041
"352" "CPBP family intramembrane metalloprotease" "CP080275" 95461 96381 "+" 921
"353" "ABC transporter substrate-binding protein_6" "CP080276" 95513 97114 "+" 1602
"354" "acetyl-CoA carboxylase%2C carboxyltransferase subunit beta" "CP080275" 96444 97388 "+" 945
"355" "ABC transporter permease_5" "CP080276" 97119 98972 "+" 1854
"356" "bifunctional folylpolyglutamate synthase/dihydrofolate synthase" "CP080275" 97484 98752 "+" 1269
"357" "hypothetical protein_74" "CP080277" 97535 97879 "-" 345
"358" "hypothetical protein_75" "CP080277" 98335 98523 "-" 189
"359" "hypothetical protein_76" "CP080277" 98806 98997 "-" 192
"360" "AFG1 family ATPase" "CP080275" 98880 99950 "-" 1071
