"Start","GeneID.x","Chr.x","End.x","Strand.x","Length.x","GeneID.y","Chr.y","End.y","Strand.y","Length.y"
81196,"OL67_000067","1",81795,"+",599,NA,NA,NA,NA,NA
82073,"OL67_000068","1",82825,"+",752,"TIM barrel protein","CP080275",82825,"+",752
82974,"OL67_000069","1",83243,"+",269,"DUF2798 domain-containing protein","CP080275",83243,"+",269
83457,"OL67_000070","1",86270,"-",2813,"DNA polymerase I","CP080275",86270,"-",2813
86498,"OL67_000071","1",88552,"-",2054,"EAL domain-containing protein","CP080275",88552,"-",2054
88760,"OL67_000072","1",88942,"-",182,"zinc-finger domain-containing protein","CP080275",88942,"-",182
89014,"OL67_000073","1",89946,"+",932,"ABC transporter ATP-binding protein","CP080275",89946,"+",932
90008,"OL67_000074","1",90385,"-",377,"hypothetical protein","CP080275",90385,"-",377
90407,"OL67_000075","1",91168,"-",761,"DUF6478 family protein","CP080275",91168,"-",761
91351,"OL67_000076","1",92151,"-",800,"hypothetical protein","CP080275",91995,"-",644
92343,"OL67_000077","1",95471,"+",3128,"cyclic nucleotide-binding domain-containing protein","CP080275",95471,"+",3128
95461,"OL67_000078","1",96381,"+",920,"CPBP family intramembrane metalloprotease","CP080275",96381,"+",920
96444,"OL67_000079","1",97388,"+",944,"acetyl-CoA carboxylase%2C carboxyltransferase subunit beta","CP080275",97388,"+",944
97484,"OL67_000080","1",98752,"+",1268,"bifunctional folylpolyglutamate synthase/dihydrofolate synthase","CP080275",98752,"+",1268
98880,"OL67_000081","1",99950,"-",1070,"AFG1 family ATPase","CP080275",99950,"-",1070
100175,"OL67_000082","1",101416,"+",1241,"MFS transporter","CP080275",101416,"+",1241
101435,"OL67_000083","1",102355,"-",920,"NAD(P)-binding domain-containing protein","CP080275",102355,"-",920
102352,"OL67_000084","1",102972,"-",620,"HAD family phosphatase","CP080275",102972,"-",620
102984,"OL67_000085","1",103949,"-",965,"DMT family transporter","CP080275",103949,"-",965
104030,"OL67_000086","1",104482,"-",452,"YaiI/YqxD family protein","CP080275",104485,"-",455
104482,"OL67_000087","1",105975,"-",1493,"Si-specific NAD(P)(+) transhydrogenase","CP080275",105975,"-",1493
105979,"OL67_000088","1",106812,"-",833,"S-formylglutathione hydrolase","CP080275",106812,"-",833
106990,"OL67_000089","1",107928,"-",938,"AEC family transporter","CP080275",107928,"-",938
108287,"OL67_000090","1",108910,"+",623,"TetR/AcrR family transcriptional regulator","CP080275",108910,"+",623
108937,"OL67_000091","1",109485,"-",548,"cytochrome c","CP080275",109485,"-",548
109649,"OL67_000092","1",110350,"+",701,"ArsR family transcriptional regulator","CP080275",110350,"+",701
110419,"OL67_000093","1",110763,"+",344,"DUF2794 domain-containing protein","CP080275",110763,"+",344
110801,"OL67_000094","1",111646,"-",845,"C40 family peptidase","CP080275",111646,"-",845
111658,"OL67_000095","1",113052,"-",1394,"leucyl aminopeptidase family protein","CP080275",113052,"-",1394
113351,"OL67_000096","1",113746,"-",395,"hypothetical protein","CP080275",113746,"-",395
113885,"OL67_000097","1",114535,"+",650,"carbonic anhydrase","CP080275",114535,"+",650
114569,"OL67_000098","1",115723,"-",1154,"DUF3095 domain-containing protein","CP080275",115723,"-",1154
115897,"OL67_000099","1",117075,"+",1178,"MFS transporter","CP080275",117075,"+",1178
117154,"OL67_000100","1",118176,"+",1022,"aspartate-semialdehyde dehydrogenase","CP080275",118176,"+",1022
118306,"OL67_000101","1",118641,"+",335,"hypothetical protein","CP080275",118641,"+",335
118769,"OL67_000102","1",120442,"+",1673,NA,NA,NA,NA,NA
118850,NA,NA,NA,NA,NA,"DUF4139 domain-containing protein","CP080275",120442,"+",1592
120451,"OL67_000103","1",121521,"-",1070,"branched-chain amino acid ABC transporter permease","CP080275",122549,"-",2098
121518,"OL67_000104","1",122549,"-",1031,NA,NA,NA,NA,NA
122609,"OL67_000105","1",123358,"-",749,"ABC transporter ATP-binding protein","CP080275",124127,"-",1518
123351,"OL67_000106","1",124127,"-",776,NA,NA,NA,NA,NA
124220,"OL67_000107","1",125404,"-",1184,"substrate-binding domain-containing protein","CP080275",125404,"-",1184
125547,"OL67_000108","1",126317,"-",770,"HpcH/HpaI aldolase/citrate lyase family protein","CP080275",126317,"-",770
126455,"OL67_000109","1",127864,"-",1409,"pyridoxal-dependent decarboxylase","CP080275",127864,"-",1409
128093,"OL67_000110","1",128527,"+",434,"homoprotocatechuate degradation operon regulator HpaR","CP080275",128527,"+",434
128537,"OL67_000111","1",129811,"-",1274,"DUF4147 domain-containing protein","CP080275",129811,"-",1274
129804,"OL67_000112","1",131381,"-",1577,"sulfatase-like hydrolase/transferase","CP080275",131381,"-",1577
131569,NA,NA,NA,NA,NA,"DeoR/GlpR family DNA-binding transcription regulator","CP080275",132405,"+",836
131587,"OL67_000113","1",132405,"+",818,NA,NA,NA,NA,NA
132504,"OL67_000114","1",134180,"+",1676,"Na/Pi cotransporter family protein","CP080275",134180,"+",1676
134220,"OL67_000115","1",135059,"+",839,"DMT family transporter","CP080275",135059,"+",839
135365,"OL67_000116","1",136489,"+",1124,"extracellular solute-binding protein","CP080275",136489,"+",1124
136643,"OL67_000117","1",137755,"+",1112,"ABC transporter ATP-binding protein","CP080275",137755,"+",1112
137769,"OL67_000118","1",138689,"+",920,"ABC transporter permease","CP080275",140011,"+",2242
138686,"OL67_000119","1",140011,"+",1325,NA,NA,NA,NA,NA
140112,"OL67_000120","1",143585,"-",3473,"glycosyltransferase","CP080275",143561,"-",3449
143852,"OL67_000121","1",146245,"+",2393,"DUF3131 domain-containing protein","CP080275",146245,"+",2393
146253,"OL67_000122","1",146873,"-",620,"hypothetical protein","CP080275",146873,"-",620
148167,NA,NA,NA,NA,NA,"hypothetical protein","CP080275",148346,"+",179
148353,"OL67_000124","1",149624,"+",1271,"UDP-N-acetylglucosamine 1-carboxyvinyltransferase","CP080275",149624,"+",1271
149624,"OL67_000125","1",150100,"+",476,"DUF2948 family protein","CP080275",150100,"+",476
150097,"OL67_000126","1",150639,"+",542,"GNAT family N-acetyltransferase","CP080275",150639,"+",542
150709,"OL67_000127","1",152010,"+",1301,"histidinol dehydrogenase","CP080275",152010,"+",1301
152173,"OL67_000128","1",152652,"+",479,"UPF0262 family protein","CP080275",152652,"+",479
152656,"OL67_000129","1",153114,"+",458,"low molecular weight phosphatase family protein","CP080275",153114,"+",458
153111,"OL67_000130","1",153506,"+",395,"nuclear transport factor 2 family protein","CP080275",153506,"+",395
153506,"OL67_000131","1",154096,"+",590,"GNAT family N-acetyltransferase","CP080275",154096,"+",590
154119,"OL67_000132","1",154997,"+",878,"carbon-nitrogen hydrolase family protein","CP080275",154997,"+",878
155082,"OL67_000133","1",155300,"+",218,"translation initiation factor IF-1","CP080275",155300,"+",218
155501,"OL67_000134","1",156082,"+",581,"Maf family protein","CP080275",156082,"+",581
156079,"OL67_000135","1",157101,"+",1022,"ribonuclease E/G","CP080275",157101,"+",1022
157098,"OL67_000136","1",157280,"+",182,"DNA gyrase inhibitor YacG","CP080275",157280,"+",182
157468,"OL67_000138","1",158580,"-",1112,"tyrosine-type recombinase/integrase","CP080275",158580,"-",1112
158580,"OL67_000139","1",158816,"-",236,NA,NA,NA,NA,NA
158829,"OL67_000140","1",159044,"-",215,"hypothetical protein","CP080275",159044,"-",215
159170,"OL67_000141","1",159565,"+",395,"helix-turn-helix transcriptional regulator","CP080275",159565,"+",395
159574,"OL67_000142","1",159816,"+",242,"hypothetical protein","CP080275",159816,"+",242
160704,"OL67_000143","1",163802,"+",3098,"N-6 DNA methylase","CP080275",163802,"+",3098
163799,"OL67_000144","1",164455,"+",656,"hypothetical protein","CP080275",164455,"+",656
164737,"OL67_000145","1",165165,"-",428,"hypothetical protein","CP080275",165165,"-",428
165368,"OL67_000146","1",165733,"-",365,"helix-turn-helix domain-containing protein","CP080275",165733,"-",365
166081,"OL67_000147","1",166500,"-",419,"helix-turn-helix domain-containing protein","CP080275",166500,"-",419
166577,"OL67_000148","1",166966,"+",389,"mercury transporter","CP080275",166966,"+",389
166980,"OL67_000149","1",167285,"+",305,"hypothetical protein","CP080275",167285,"+",305
167295,"OL67_000150","1",167549,"+",254,"hypothetical protein","CP080275",167549,"+",254
167546,"OL67_000151","1",167755,"+",209,"mercury resistance system transport protein MerF","CP080275",167755,"+",209
167767,"OL67_000152","1",169200,"+",1433,"mercury(II) reductase","CP080275",169200,"+",1433
169444,"OL67_000153","1",169998,"+",554,"chloramphenicol phosphotransferase CPT family protein","CP080275",169998,"+",554
170182,"OL67_000154","1",170481,"-",299,"hypothetical protein","CP080275",170481,"-",299
170478,"OL67_000155","1",171374,"-",896,"type IV secretion system protein","CP080275",171374,"-",896
171377,"OL67_000156","1",171613,"-",236,"EexN family lipoprotein","CP080275",171613,"-",236
171616,"OL67_000157","1",172320,"-",704,"type IV secretion system protein","CP080275",172362,"-",746
172317,"OL67_000158","1",172793,"-",476,"hypothetical protein","CP080275",172793,"-",476
172829,"OL67_000159","1",174040,"-",1211,"plasmid recombination protein","CP080275",174040,"-",1211
174101,"OL67_000160","1",174826,"-",725,"helix-turn-helix domain-containing protein","CP080275",174826,"-",725
175526,NA,NA,NA,NA,NA,"hypothetical protein","CP080275",175813,"+",287
176591,"OL67_000161","1",177925,"+",1334,"PLP-dependent aminotransferase family protein","CP080275",177925,"+",1334
178576,"OL67_000162","1",180633,"-",2057,"catalase","CP080275",180633,"-",2057
180666,"OL67_000163","1",182123,"-",1457,"Y4yA family PLP-dependent enzyme","CP080275",182051,"-",1385
182120,"OL67_000164","1",183697,"-",1577,"FAD/NAD(P)-binding protein","CP080275",183697,"-",1577
183694,"OL67_000165","1",184719,"-",1025,"2%2C3-diaminopropionate biosynthesis protein SbnA","CP080275",184719,"-",1025
184728,"OL67_000166","1",185171,"-",443,NA,NA,NA,NA,NA
185359,"OL67_000167","1",185997,"-",638,"DUF998 domain-containing protein","CP080275",185997,"-",638
186112,"OL67_000168","1",186531,"-",419,"PRC-barrel domain-containing protein","CP080275",186531,"-",419
186901,"OL67_000169","1",187698,"-",797,"hypothetical protein","CP080275",187689,"-",788
188091,"OL67_000170","1",189041,"+",950,"glycosyltransferase family 2 protein","CP080275",189041,"+",950
189043,"OL67_000171","1",189840,"+",797,"NAD(P)-dependent oxidoreductase","CP080275",189840,"+",797
189821,NA,NA,NA,NA,NA,"glycosyltransferase","CP080275",190609,"+",788
189833,"OL67_000172","1",190609,"+",776,NA,NA,NA,NA,NA
190606,"OL67_000173","1",191802,"+",1196,"DegT/DnrJ/EryC1/StrS family aminotransferase","CP080275",191802,"+",1196
191844,"OL67_000174","1",192971,"+",1127,"GDP-mannose 4%2C6-dehydratase","CP080275",192971,"+",1127
193084,"OL67_000175","1",193590,"-",506,"hypothetical protein","CP080275",193590,"-",506
193641,"OL67_000176","1",193961,"-",320,NA,NA,NA,NA,NA
194207,"OL67_000177","1",195052,"+",845,"formate/nitrite transporter family protein","CP080275",195052,"+",845
195163,"OL67_000178","1",195324,"+",161,"DUF1328 domain-containing protein","CP080275",195324,"+",161
195430,"OL67_000179","1",196758,"-",1328,"NAD(P)/FAD-dependent oxidoreductase","CP080275",196758,"-",1328
196868,"OL67_000180","1",197977,"+",1109,NA,NA,NA,NA,NA
197009,NA,NA,NA,NA,NA,"YihY/virulence factor BrkB family protein","CP080275",197977,"+",968
198010,"OL67_000181","1",199281,"-",1271,"MFS transporter","CP080275",199281,"-",1271
199374,"OL67_000182","1",199778,"-",404,"helix-turn-helix domain-containing protein","CP080275",199778,"-",404
199858,"OL67_000183","1",201099,"+",1241,"MFS transporter","CP080275",201099,"+",1241
201162,"OL67_000184","1",201419,"-",257,NA,NA,NA,NA,NA
201556,"OL67_000185","1",202269,"+",713,"trypsin-like serine protease","CP080275",202269,"+",713
202505,"OL67_000186","1",203674,"-",1169,"HlyD family type I secretion periplasmic adaptor subunit","CP080275",203674,"-",1169
203671,"OL67_000187","1",205845,"-",2174,"ATP-binding cassette domain-containing protein","CP080275",206037,"-",2366
206034,"OL67_000188","1",207353,"-",1319,"TolC family protein","CP080275",207338,"-",1304
207442,"OL67_000189","1",211134,"-",3692,"Ig-like domain-containing protein","CP080275",211134,"-",3692
211839,"OL67_000190","1",213773,"+",1934,"PrkA family serine protein kinase","CP080275",213773,"+",1934
213795,"OL67_000191","1",215132,"+",1337,"YeaH/YhbH family protein","CP080275",215132,"+",1337
215119,"OL67_000192","1",216627,"+",1508,"SpoVR family protein","CP080275",216627,"+",1508
216635,"OL67_000193","1",217300,"-",665,"GntR family transcriptional regulator","CP080275",217300,"-",665
217479,"OL67_000194","1",218594,"-",1115,"S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase","CP080275",218591,"-",1112
218924,"OL67_000195","1",221440,"+",2516,"cadmium-translocating P-type ATPase","CP080275",221440,"+",2516
221437,"OL67_000196","1",221838,"+",401,"Cu(I)-responsive transcriptional regulator","CP080275",221838,"+",401
222131,"OL67_000197","1",222967,"-",836,"3-keto-5-aminohexanoate cleavage protein","CP080275",222967,"-",836
222979,"OL67_000198","1",223623,"-",644,"protocatechuate 3%2C4-dioxygenase subunit alpha","CP080275",223623,"-",644
223623,"OL67_000199","1",224348,"-",725,"protocatechuate 3%2C4-dioxygenase subunit beta","CP080275",224348,"-",725
224335,"OL67_000200","1",224760,"-",425,"4-carboxymuconolactone decarboxylase","CP080275",224760,"-",425
224847,"OL67_000201","1",225764,"+",917,"pca operon transcription factor PcaQ","CP080275",225764,"+",917
226002,"OL67_000202","1",226877,"+",875,"branched-chain amino acid ABC transporter permease","CP080275",226877,"+",875
226882,"OL67_000203","1",227967,"+",1085,"branched-chain amino acid ABC transporter permease","CP080275",227967,"+",1085
227964,"OL67_000204","1",228731,"+",767,"ABC transporter ATP-binding protein","CP080275",229504,"+",1540
228731,"OL67_000205","1",229504,"+",773,NA,NA,NA,NA,NA
229548,"OL67_000206","1",231485,"+",1937,"long-chain fatty acid--CoA ligase","CP080275",231485,"+",1937
231532,"OL67_000207","1",232692,"+",1160,"ABC transporter substrate-binding protein","CP080275",232692,"+",1160
232847,"OL67_000208","1",233764,"+",917,"MBL fold metallo-hydrolase","CP080275",233764,"+",917
234172,"OL67_000209","1",235836,"+",1664,"tetratricopeptide repeat protein","CP080275",235836,"+",1664
235992,"OL67_000210","1",236981,"+",989,"NADPH:quinone reductase","CP080275",236981,"+",989
237489,"OL67_000212","1",238502,"-",1013,"LacI family DNA-binding transcriptional regulator","CP080275",238460,"-",971
238770,"OL67_000213","1",240071,"+",1301,"extracellular solute-binding protein","CP080275",240071,"+",1301
240145,"OL67_000214","1",241026,"+",881,"ABC transporter permease subunit","CP080275",241026,"+",881
241037,"OL67_000215","1",241918,"+",881,"ABC transporter permease subunit","CP080275",241918,"+",881
241931,"OL67_000216","1",242977,"+",1046,"sn-glycerol-3-phosphate import ATP-binding protein UgpC","CP080275",242977,"+",1046
242974,"OL67_000217","1",243975,"+",1001,"endonuclease","CP080275",243975,"+",1001
244078,"OL67_000218","1",245148,"+",1070,"trifunctional transcriptional activator/DNA repair protein Ada/methylated-DNA--[protein]-cysteine S-methyltransferase","CP080275",245148,"+",1070
245268,"OL67_000219","1",246788,"+",1520,"2%2C3-bisphosphoglycerate-independent phosphoglycerate mutase","CP080275",246788,"+",1520
246785,"OL67_000220","1",247969,"+",1184,"peptidoglycan DD-metalloendopeptidase family protein","CP080275",247969,"+",1184
247973,"OL67_000221","1",249316,"+",1343,"S41 family peptidase","CP080275",249316,"+",1343
249408,"OL67_000222","1",250280,"-",872,"helix-turn-helix domain-containing protein","CP080275",250280,"-",872
250369,"OL67_000223","1",251550,"+",1181,"4-hydroxybenzoate 3-monooxygenase","CP080275",251550,"+",1181
251560,"OL67_000224","1",252216,"-",656,"NAD(P)H-binding protein","CP080275",252216,"-",656
252412,"OL67_000225","1",253341,"+",929,"ABC transporter ATP-binding protein","CP080275",253341,"+",929
253338,"OL67_000226","1",254099,"+",761,"ABC transporter permease","CP080275",254099,"+",761
254336,"OL67_000227","1",255133,"+",797,"S49 family peptidase","CP080275",255133,"+",797
255308,"OL67_000228","1",256252,"+",944,"calcium/sodium antiporter","CP080275",256252,"+",944
256287,"OL67_000229","1",257063,"+",776,"SDR family oxidoreductase","CP080275",257063,"+",776
257378,"OL67_000230","1",259267,"+",1889,"excinuclease ABC subunit UvrC","CP080275",259267,"+",1889
259464,"OL67_000231","1",260135,"+",671,"CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase","CP080275",260135,"+",671
260135,"OL67_000232","1",260380,"+",245,"molybdopterin converting factor subunit 1","CP080275",260380,"+",245
260384,"OL67_000233","1",260845,"+",461,"molybdenum cofactor biosynthesis protein MoaE","CP080275",260845,"+",461
260897,"OL67_000234","1",261211,"-",314,"hypothetical protein","CP080275",261211,"-",314
261208,"OL67_000235","1",263118,"-",1910,"OmpA family protein","CP080275",263118,"-",1910
263196,"OL67_000236","1",264158,"-",962,"4-hydroxybenzoate octaprenyltransferase","CP080275",264158,"-",962
264170,"OL67_000237","1",264898,"+",728,"16S rRNA (uracil(1498)-N(3))-methyltransferase","CP080275",264898,"+",728
264895,"OL67_000238","1",265803,"+",908,"GNAT family N-acetyltransferase","CP080275",265803,"+",908
265800,"OL67_000239","1",266327,"+",527,"hypothetical protein","CP080275",266327,"+",527
266392,"OL67_000240","1",267762,"+",1370,"glutamate--cysteine ligase","CP080275",267762,"+",1370
267958,"OL67_000241","1",268233,"+",275,NA,NA,NA,NA,NA
267979,NA,NA,NA,NA,NA,"hypothetical protein","CP080275",268233,"+",254
268332,"OL67_000242","1",268805,"-",473,"hypothetical protein","CP080275",268805,"-",473
269085,"OL67_000243","1",269690,"-",605,"glycerol-3-phosphate 1-O-acyltransferase PlsY","CP080275",269690,"-",605
269690,"OL67_000244","1",271000,"-",1310,"dihydroorotase","CP080275",271000,"-",1310
270997,"OL67_000245","1",271404,"-",407,"hypothetical protein","CP080275",271404,"-",407
271406,"OL67_000246","1",271963,"-",557,"hypothetical protein","CP080275",271963,"-",557
271967,"OL67_000247","1",272962,"-",995,"aspartate carbamoyltransferase catalytic subunit","CP080275",272962,"-",995
273070,"OL67_000248","1",273831,"+",761,"uracil-DNA glycosylase","CP080275",273831,"+",761
273907,"OL67_000249","1",274449,"+",542,"molybdenum cofactor biosynthesis protein B","CP080275",274449,"+",542
274587,"OL67_000250","1",276077,"+",1490,"HlyD family efflux transporter periplasmic adaptor subunit","CP080275",276077,"+",1490
276083,"OL67_000251","1",279475,"+",3392,"efflux RND transporter permease subunit","CP080275",279475,"+",3392
279513,"OL67_000252","1",280022,"-",509,"NUDIX hydrolase","CP080275",280022,"-",509
280055,"OL67_000253","1",280909,"-",854,"hypothetical protein","CP080275",280909,"-",854
281087,"OL67_000254","1",281644,"+",557,"YqgE/AlgH family protein","CP080275",281644,"+",557
281681,"OL67_000255","1",282628,"-",947,"threonylcarbamoyl-AMP synthase","CP080275",282628,"-",947
282761,"OL67_000256","1",284467,"+",1706,"acyl-CoA dehydrogenase","CP080275",284467,"+",1706
284464,"OL67_000257","1",285501,"+",1037,"MBL fold metallo-hydrolase","CP080275",285501,"+",1037
285526,"OL67_000258","1",285990,"+",464,"DUF6173 family protein","CP080275",285990,"+",464
285974,"OL67_000259","1",286558,"+",584,NA,NA,NA,NA,NA
286073,NA,NA,NA,NA,NA,"hypothetical protein","CP080275",286558,"+",485
286647,"OL67_000260","1",286781,"+",134,"aa3-type cytochrome c oxidase subunit IV","CP080275",286781,"+",134
286790,"OL67_000261","1",287458,"+",668,"hypothetical protein","CP080275",287458,"+",668
287539,"OL67_000262","1",287874,"-",335,"AzlD domain-containing protein","CP080275",287874,"-",335
287871,"OL67_000263","1",288596,"-",725,"AzlC family ABC transporter permease","CP080275",288596,"-",725
288656,"OL67_000264","1",289558,"+",902,"formate dehydrogenase accessory sulfurtransferase FdhD","CP080275",289558,"+",902
289621,"OL67_000265","1",290262,"+",641,"molybdenum cofactor guanylyltransferase MobA","CP080275",290262,"+",641
290259,"OL67_000266","1",290750,"+",491,"molybdopterin-guanine dinucleotide biosynthesis protein B","CP080275",290750,"+",491
290747,"OL67_000267","1",291559,"+",812,"molybdopterin guanine dinucleotide synthesis","CP080275",291559,"+",812
291556,"OL67_000268","1",292812,"+",1256,"molybdopterin-binding protein","CP080275",292812,"+",1256
292824,"OL67_000269","1",293843,"-",1019,"hypothetical protein","CP080275",293843,"-",1019
293952,"OL67_000270","1",294422,"-",470,"transcription elongation factor GreA","CP080275",294422,"-",470
294724,"OL67_000271","1",294963,"-",239,NA,NA,NA,NA,NA
294953,"OL67_000272","1",295336,"-",383,"VOC family protein","CP080275",295336,"-",383
295485,"OL67_000273","1",295979,"+",494,"redox-sensitive transcriptional activator SoxR","CP080275",295979,"+",494
296137,"OL67_000274","1",297786,"+",1649,"electron transfer flavoprotein-ubiquinone oxidoreductase","CP080275",297786,"+",1649
297927,"OL67_000275","1",299675,"+",1748,"tetratricopeptide repeat protein","CP080275",299675,"+",1748
299665,"OL67_000276","1",300501,"+",836,"4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase","CP080275",300501,"+",836
